pheno	bonf_thresh	significant_kmers	significant_genes
2furoate	NA	0	0
2furoate_int	NA	0	0
2furoate_log	NA	0	0
3HIV	NA	1814	13
3HIV_int	NA	0	0
3HIV_log	NA	1814	13
3MPA	NA	0	0
3MPA_int	NA	0	0
3MPA_log	NA	0	0
anthranilate	NA	210	7
anthranilate_int	NA	0	0
anthranilate_log	NA	210	7
at	NA	26891	0
at_int	NA	0	0
at_log	NA	900	19
betaine	NA	0	0
betaine_int	NA	0	0
betaine_log	NA	0	0
ci	NA	285	14
ci_int	NA	0	0
ci_log	NA	1	0
co_int	NA	0	0
co_log	NA	9811	233
cyanide	NA	0	0
cyanide_int	NA	0	0
cyanide_log	NA	0	0
cystine	NA	0	0
cystine_int	NA	0	0
cystine_log	NA	0	0
formate	NA	0	0
formate_int	NA	0	0
formate_log	NA	0	0
fumarate	NA	0	0
fumarate_int	NA	0	0
fumarate_log	NA	0	0
hcn	NA	0	0
hcn_int	NA	0	0
hcn_log	NA	1	0
histidine	NA	0	0
histidine_int	NA	0	0
histidine_log	NA	0	0
ip	NA	0	0
ip_int	NA	0	0
ip_log	NA	0	0
isoleucine	NA	5097	132
isoleucine_int	NA	1	0
isoleucine_log	NA	4985	128
leucine	NA	16450	289
leucine_int	NA	0	0
leucine_log	NA	4913	125
methanol	NA	216	7
methanol_int	NA	0	0
methanol_log	NA	216	7
methionine	NA	0	0
methionine_int	NA	0	0
methionine_log	NA	0	0
swarm	NA	229	7
swarm_int	NA	0	0
swarm_log	NA	0	0
swim	NA	0	0
swim_int	NA	0	0
swim_log	NA	2	1
tm	NA	1848	46
tm_int	NA	0	0
tm_log	NA	0	0
tryptophan	NA	20	1
tryptophan_int	NA	0	0
tryptophan_log	NA	1	1
twitch	NA	0	0
twitch_int	NA	0	0
twitch_log	NA	0	0
uracil	NA	2707	75
uracil_int	NA	0	0
uracil_log	NA	2470	72
valine_int	NA	0	0
valine_log	NA	0	0
