gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
htpG_2	117	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04916;Name=htpG_2;db_xref=COG:COG0326;gene=htpG_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A6Z3;locus_tag=MJLLFBCC_04916;product=Chaperone protein HtpG
acoB	100	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02263;eC_number=1.1.1.-;Name=acoB;db_xref=COG:COG0022;gene=acoB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27746;locus_tag=MJLLFBCC_02263;product=Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit beta
pcaK_2	100	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02292;Name=pcaK_2;db_xref=COG:COG0477;gene=pcaK_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q51955;locus_tag=MJLLFBCC_02292;product=4-hydroxybenzoate transporter PcaK
rpmF	100	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_06055;Name=rpmF;db_xref=COG:COG0333;gene=rpmF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HZN4;locus_tag=MJLLFBCC_06055;product=50S ribosomal protein L32
rpoC	100	-0.32	-0.214	-0.25746	0.00274544282828283	8.072629636960977	9.02502800570193	8.463112968144769	0.22163480374503594	0.01100000000000001	0.02200000000000002	0.017490000000000016	2.9565555555555656e-5	ID=MJLLFBCC_02769;eC_number=2.7.7.6;Name=rpoC;gene=rpoC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A7ZUK2;locus_tag=MJLLFBCC_02769;product=DNA-directed RNA polymerase subunit beta'
yscD	100	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04793;Name=yscD;gene=yscD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q01245;locus_tag=MJLLFBCC_04793;product=Yop proteins translocation protein D
iutA_1	81	-0.304	-0.304	-0.304	0	19.262012673666568	19.262012673666568	19.262012673666568	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_01835;Name=iutA_1;gene=iutA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q6U607;locus_tag=MJLLFBCC_01835;product=Ferric aerobactin receptor
psd	79	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05320;eC_number=4.1.1.65;Name=psd;db_xref=COG:COG0688;gene=psd;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A8K1;locus_tag=MJLLFBCC_05320;product=Phosphatidylserine decarboxylase proenzyme
proS	76	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_00722;eC_number=6.1.1.15;Name=proS;db_xref=COG:COG0442;gene=proS;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9I502;locus_tag=MJLLFBCC_00722;product=Proline--tRNA ligase
rhdA	76	-0.32	-0.32	-0.32	0	9.02502800570193	9.02502800570193	9.02502800570193	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05319;eC_number=2.8.1.1;Name=rhdA;db_xref=COG:COG2897;gene=rhdA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HUK9;locus_tag=MJLLFBCC_05319;product=Thiosulfate sulfurtransferase
