gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
ydaP	79	-27.9	-21.7	-25.153164556962025	9.606880882830252	8.136082623042139	11.721246399047171	10.132882700817094	3.2123068684192098	0.04400000000000004	0.05500000000000005	0.04887341772151903	3.024018175916918e-5	ID=MJLLFBCC_04074;Name=ydaP;db_xref=COG:COG0028;gene=ydaP;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P96591;locus_tag=MJLLFBCC_04074;product=Putative thiamine pyrophosphate-containing protein YdaP
prc	38	-27.6	-27.6	-27.6	0	8.266000713461613	8.266000713461613	8.266000713461613	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_04209;eC_number=3.4.21.102;Name=prc;db_xref=COG:COG0793;gene=prc;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23865;locus_tag=MJLLFBCC_04209;product=Tail-specific protease
pepA	37	-27.6	-27.6	-27.6	0	8.266000713461613	8.266000713461613	8.266000713461613	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00615;eC_number=3.4.11.1;Name=pepA;db_xref=COG:COG0260;gene=pepA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O86436;locus_tag=MJLLFBCC_00615;product=Cytosol aminopeptidase
smtB	21	-27.6	-27.6	-27.6	0	8.266000713461613	8.266000713461613	8.266000713461613	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00506;eC_number=2.8.3.22;Name=smtB;db_xref=COG:COG1804;gene=smtB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q1KLK0;locus_tag=MJLLFBCC_00506;product=Succinyl-CoA--L-malate CoA-transferase beta subunit
tpx	18	-27.6	-27.6	-27.6	0	8.266000713461613	8.266000713461613	8.266000713461613	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_02353;eC_number=1.11.1.15;Name=tpx;db_xref=COG:COG2077;gene=tpx;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A862;locus_tag=MJLLFBCC_02353;product=Thiol peroxidase
lysN	12	-27.6	-27.6	-27.6	0	8.266000713461613	8.266000713461613	8.266000713461613	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_04857;eC_number=2.6.1.39;Name=lysN;db_xref=COG:COG1167;gene=lysN;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q72LL6;locus_tag=MJLLFBCC_04857;product=2-aminoadipate transaminase
holC	4	-27.6	-27.6	-27.6	0	8.266000713461613	8.266000713461613	8.266000713461613	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00616;eC_number=2.7.7.7;Name=holC;db_xref=COG:COG2927;gene=holC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P28905;locus_tag=MJLLFBCC_00616;product=DNA polymerase III subunit chi
ghrB_2	1	-27.6	-27.6	-27.6	NA	8.266000713461613	8.266000713461613	8.266000713461613	NA	0.03300000000000003	0.03300000000000003	0.03300000000000003	NA	ID=MJLLFBCC_06261;eC_number=1.1.1.79;Name=ghrB_2;db_xref=COG:COG1052;gene=ghrB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37666;locus_tag=MJLLFBCC_06261;product=Glyoxylate/hydroxypyruvate reductase B
glgA	1	-27.6	-27.6	-27.6	NA	8.266000713461613	8.266000713461613	8.266000713461613	NA	0.03300000000000003	0.03300000000000003	0.03300000000000003	NA	ID=MJLLFBCC_04012;eC_number=2.4.1.21;Name=glgA;db_xref=COG:COG0297;gene=glgA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A6U8;locus_tag=MJLLFBCC_04012;product=Glycogen synthase
hcnA	1	-27.6	-27.6	-27.6	NA	8.266000713461613	8.266000713461613	8.266000713461613	NA	0.03300000000000003	0.03300000000000003	0.03300000000000003	NA	ID=MJLLFBCC_03987;eC_number=1.4.99.5;Name=hcnA;db_xref=COG:COG0446;gene=hcnA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:G3XD67;locus_tag=MJLLFBCC_03987;product=Hydrogen cyanide synthase subunit HcnA
katE	1	-27.6	-27.6	-27.6	NA	8.266000713461613	8.266000713461613	8.266000713461613	NA	0.03300000000000003	0.03300000000000003	0.03300000000000003	NA	ID=MJLLFBCC_04031;eC_number=1.11.1.6;Name=katE;db_xref=COG:COG0753;gene=katE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P21179;locus_tag=MJLLFBCC_04031;product=Catalase HPII
