gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
gdhB	133	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05955;eC_number=1.4.1.2;Name=gdhB;db_xref=COG:COG2902;gene=gdhB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HZE0;locus_tag=MJLLFBCC_05955;product=NAD-specific glutamate dehydrogenase
exaA	117	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05035;eC_number=1.1.2.8;Name=exaA;db_xref=COG:COG4993;gene=exaA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9Z4J7;locus_tag=MJLLFBCC_05035;product=Quinoprotein alcohol dehydrogenase (cytochrome c)
bepE	110	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02207;Name=bepE;gene=bepE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8G2M6;locus_tag=MJLLFBCC_02207;product=Efflux pump membrane transporter BepE
codB	100	-1.43	-0.887	-0.9413	0.026804454545454593	7.3535962737769305	10.119186407719209	7.630155287171158	0.6953171626326264	0.01100000000000001	0.02200000000000002	0.02090000000000002	1.1e-5	ID=MJLLFBCC_01248;Name=codB;db_xref=COG:COG1457;gene=codB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AA82;locus_tag=MJLLFBCC_01248;product=Cytosine permease
folE_2	100	-1.43	-0.887	-1.14764	0.07433768727272716	7.3535962737769305	10.119186407719209	8.681079538069223	1.9283462643678113	0.01100000000000001	0.02200000000000002	0.016720000000000016	3.0506666666666667e-5	ID=MJLLFBCC_04837;eC_number=3.5.4.16;Name=folE_2;db_xref=COG:COG0302;gene=folE_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P19465;locus_tag=MJLLFBCC_04837;product=GTP cyclohydrolase 1
fumA	100	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04407;eC_number=4.2.1.2;Name=fumA;db_xref=COG:COG1838;gene=fumA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AC33;locus_tag=MJLLFBCC_04407;product=Fumarate hydratase class I%2C aerobic
mlaA	100	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02970;Name=mlaA;db_xref=COG:COG2853;gene=mlaA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76506;locus_tag=MJLLFBCC_02970;product=putative phospholipid-binding lipoprotein MlaA
oqxB10	100	-1.43	-0.887	-1.25624	0.06480721454545442	7.3535962737769305	10.119186407719209	9.234197564857679	1.6811223843206553	0.01100000000000001	0.02200000000000002	0.014520000000000012	2.659555555555556e-5	ID=MJLLFBCC_00190;Name=oqxB10;gene=oqxB10;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:BARRGD:A7J11_03137;locus_tag=MJLLFBCC_00190;product=multidrug efflux RND transporter permease subunit OqxB10
pepP	100	-1.43	-0.887	-1.22366	0.07016810545454535	7.3535962737769305	10.119186407719209	9.068262156821143	1.820185816847183	0.01100000000000001	0.02200000000000002	0.015180000000000013	2.8795555555555564e-5	ID=MJLLFBCC_05660;eC_number=3.4.11.9;Name=pepP;db_xref=COG:COG0006;gene=pepP;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P15034;locus_tag=MJLLFBCC_05660;product=Xaa-Pro aminopeptidase
rpsN	100	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02788;Name=rpsN;db_xref=COG:COG0199;gene=rpsN;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AG59;locus_tag=MJLLFBCC_02788;product=30S ribosomal protein S14
rutR_1	100	-1.43	-0.887	-1.27253	0.06132263545454535	7.3535962737769305	10.119186407719209	9.317165268875948	1.5907311531784154	0.01100000000000001	0.02200000000000002	0.014190000000000013	2.5165555555555634e-5	ID=MJLLFBCC_01246;Name=rutR_1;db_xref=COG:COG1309;gene=rutR_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ACU2;locus_tag=MJLLFBCC_01246;product=HTH-type transcriptional regulator RutR
thiI	100	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05482;eC_number=2.8.1.4;Name=thiI;db_xref=COG:COG0301;gene=thiI;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8XE74;locus_tag=MJLLFBCC_05482;product=tRNA sulfurtransferase
ylxH	100	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_03370;Name=ylxH;db_xref=COG:COG0455;gene=ylxH;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P40742;locus_tag=MJLLFBCC_03370;product=Flagellum site-determining protein YlxH
rhlE_2	99	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_01238;eC_number=3.6.4.13;Name=rhlE_2;gene=rhlE_2;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00968;locus_tag=MJLLFBCC_01238;product=ATP-dependent RNA helicase RhlE
fcuA	92	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04965;Name=fcuA;gene=fcuA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q05202;locus_tag=MJLLFBCC_04965;product=Ferrichrome receptor FcuA
gatA_1	89	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02251;eC_number=6.3.5.7;Name=gatA_1;gene=gatA_1;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00120;locus_tag=MJLLFBCC_02251;product=Glutamyl-tRNA(Gln) amidotransferase subunit A
putP_1	87	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_00964;Name=putP_1;db_xref=COG:COG0591;gene=putP_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07117;locus_tag=MJLLFBCC_00964;product=Sodium/proline symporter
sspA_1	86	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04504;Name=sspA_1;db_xref=COG:COG0625;gene=sspA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ACA3;locus_tag=MJLLFBCC_04504;product=Stringent starvation protein A
dhbE	84	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02810;eC_number=6.3.2.-;Name=dhbE;db_xref=COG:COG1021;gene=dhbE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P40871;locus_tag=MJLLFBCC_02810;product=2%2C3-dihydroxybenzoate-AMP ligase
pyrG_1	81	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_00306;eC_number=6.3.4.2;Name=pyrG_1;db_xref=COG:COG0504;gene=pyrG_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A7E5;locus_tag=MJLLFBCC_00306;product=CTP synthase
aroK	80	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05404;eC_number=2.7.1.71;Name=aroK;db_xref=COG:COG0703;gene=aroK;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A6D7;locus_tag=MJLLFBCC_05404;product=Shikimate kinase 1
ynbD	80	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02360;Name=ynbD;db_xref=COG:COG0671;gene=ynbD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76093;locus_tag=MJLLFBCC_02360;product=putative protein YnbD
ywnA	79	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02245;Name=ywnA;db_xref=COG:COG1959;gene=ywnA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P71036;locus_tag=MJLLFBCC_02245;product=Putative HTH-type transcriptional regulator YwnA
mdtC	76	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02347;Name=mdtC;gene=mdtC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:B7L9U9;locus_tag=MJLLFBCC_02347;product=Multidrug resistance protein MdtC
phnB	75	-1.43	-0.887	-1.32864	0.045369557837837776	7.3535962737769305	10.119186407719209	9.602942916049983	1.1769025992379951	0.01100000000000001	0.02200000000000002	0.013053333333333346	1.8618738738738757e-5	ID=MJLLFBCC_03748;eC_number=4.1.3.27;Name=phnB;db_xref=COG:COG0512;gene=phnB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P09786;locus_tag=MJLLFBCC_03748;product=Anthranilate synthase component 2%2C pyocyanine specific
