gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
traG	822	-239	-186	-238.7530413625304	7.64295663409703	7.081445469449727	9.235077015350111	9.224808334197608	0.012967080681931966	0.0879	0.341	0.08863698296836983	1.0203363668423932e-4	ID=JJJKENIJ_04139;Name=traG;gene=traG;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q00185;locus_tag=JJJKENIJ_04139;product=Conjugal transfer protein TraG
virB4	804	-239	-182	-238.68532338308458	13.60571209952725	7.023650020996727	9.235077015350111	9.222294108924725	0.02192322644950955	0.0879	0.33	0.08932375621890548	2.9329650841372314e-4	ID=JJJKENIJ_04134;Name=virB4;db_xref=COG:COG3451;gene=virB4;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9R2W4;locus_tag=JJJKENIJ_04134;product=Type IV secretion system protein virB4
traG_2	724	-239	232	-237.73480662983425	324.96691960294527	7.598599459218456	9.235077015350111	9.210666779069582	0.02915070643950601	0.0659	0.176	0.08896560773480663	6.502134665642661e-5	ID=NLNLFGCF_05505;Name=traG_2;gene=traG_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q00185;locus_tag=NLNLFGCF_05505;product=Conjugal transfer protein TraG
virB4_2	561	-239	-196	-238.05525846702318	28.74515533486146	7.598599459218456	9.235077015350111	9.198904924432883	0.04167116543362151	0.0879	0.165	0.08943262032085562	7.530720187165693e-5	ID=NLNLFGCF_05500;Name=virB4_2;db_xref=COG:COG3451;gene=virB4_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9R2W4;locus_tag=NLNLFGCF_05500;product=Type IV secretion system protein virB4
fusA_1	266	-253	253	122.9172932330827	43627.6987941551	8.485452247339714	11.11069829749369	9.973495729737866	1.2873580499379067	0.0659	0.08799999999999997	0.07746240601503758	1.1440046815151082e-4	ID=MJLLFBCC_02772;Name=fusA_1;db_xref=COG:COG0480;gene=fusA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HWD2;locus_tag=MJLLFBCC_02772;product=Elongation factor G 1
pntA	189	-253	253	3.2222222222222223	62196.1418439715	8.018634490921455	11.11069829749369	10.806916107163168	0.6816518096870083	0.0879	0.132	0.09225714285714284	1.375406534954411e-4	ID=MJLLFBCC_02002;eC_number=1.6.1.2;Name=pntA;db_xref=COG:COG3288;gene=pntA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07001;locus_tag=MJLLFBCC_02002;product=NAD(P) transhydrogenase subunit alpha
pntB	175	-253	253	1.6628571428571428	62898.40866995058	8.779891911959945	11.11069829749369	10.897595999387747	0.4538812146802422	0.0879	0.121	0.09096742857142856	9.12866916256159e-5	ID=MJLLFBCC_02003;eC_number=1.6.1.2;Name=pntB;db_xref=COG:COG1282;gene=pntB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2RSB4;locus_tag=MJLLFBCC_02003;product=NAD(P) transhydrogenase subunit beta
dnaG	173	-254	-203	-234.2601156069364	416.5307837074874	7.423658649794207	9.954677021213342	8.847043608153598	1.33808771623791	0.01100000000000001	0.32999999999999996	0.058560693641618526	0.005564503562306772	ID=MJLLFBCC_01385;eC_number=2.7.7.-;Name=dnaG;db_xref=COG:COG0358;gene=dnaG;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9I5W0;locus_tag=MJLLFBCC_01385;product=DNA primase
carB	137	-254	216	-130.2189781021898	43049.745813653935	7.747146969020107	9.954677021213342	9.358482773540716	0.9677328813838664	0.03300000000000003	0.06599999999999995	0.041886131386861335	2.1498370330614019e-4	ID=MJLLFBCC_05104;eC_number=6.3.5.5;Name=carB;db_xref=COG:COG0458;gene=carB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00968;locus_tag=MJLLFBCC_05104;product=Carbamoyl-phosphate synthase large chain
mutS	121	-253	-231	-247.07438016528926	27.719421487603352	8.557520230935552	11.11069829749369	9.68867046977797	0.2226003585082804	0.01100000000000001	0.15400000000000003	0.047454545454545465	0.0035917499999999908	ID=MJLLFBCC_00289;Name=mutS;db_xref=COG:COG0249;gene=mutS;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A1Y0;locus_tag=MJLLFBCC_00289;product=DNA mismatch repair protein MutS
