gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
dapA_2	209	-0.0314	0.0314	0.010666985645933014	8.76368568273831e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06593301435406697	2.222119985275532e-9	ID=MJLLFBCC_02226;eC_number=4.3.3.7;Name=dapA_2;db_xref=COG:COG0329;gene=dapA_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q04796;locus_tag=MJLLFBCC_02226;product=4-hydroxy-tetrahydrodipicolinate synthase
oxyE	209	-0.0314	0.0314	0.010666985645933014	8.76368568273831e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06593301435406697	2.222119985275532e-9	ID=MJLLFBCC_02224;eC_number=1.14.13.232;Name=oxyE;gene=oxyE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q3S8R0;locus_tag=MJLLFBCC_02224;product=6-methylpretetramide 4-monooxygenase
puuC_3	209	-0.0314	0.0314	0.010666985645933014	8.76368568273831e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06593301435406697	2.222119985275532e-9	ID=MJLLFBCC_02225;eC_number=1.2.1.5;Name=puuC_3;db_xref=COG:COG1012;gene=puuC_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23883;locus_tag=MJLLFBCC_02225;product=NADP/NAD-dependent aldehyde dehydrogenase PuuC
fabI	163	-0.0314	0.0314	0.00712760736196319	9.409297886843899e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06593865030674845	2.3858214042237976e-9	ID=MJLLFBCC_02921;eC_number=1.3.1.9;Name=fabI;db_xref=COG:COG0623;gene=fabI;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZFE4;locus_tag=MJLLFBCC_02921;product=Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
hupB_2	163	-0.0314	0.0314	0.00712760736196319	9.409297886843899e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06593865030674845	2.3858214042237976e-9	ID=MJLLFBCC_02924;Name=hupB_2;db_xref=COG:COG0776;gene=hupB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05384;locus_tag=MJLLFBCC_02924;product=DNA-binding protein HU-beta
ppiD	163	-0.0314	0.0314	0.00712760736196319	9.409297886843899e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06593865030674845	2.3858214042237976e-9	ID=MJLLFBCC_02922;eC_number=5.2.1.8;Name=ppiD;db_xref=COG:COG0760;gene=ppiD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ADY1;locus_tag=MJLLFBCC_02922;product=Peptidyl-prolyl cis-trans isomerase D
pucM	131	-0.0314	0.0314	0.016538931297709922	7.179039342337052e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06592366412213739	1.820317087490739e-9	ID=MJLLFBCC_01760;eC_number=3.5.2.17;Name=pucM;db_xref=COG:COG2351;gene=pucM;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32142;locus_tag=MJLLFBCC_01760;product=5-hydroxyisourate hydrolase
uao	131	-0.0314	0.0314	0.016538931297709922	7.179039342337052e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06592366412213739	1.820317087490739e-9	ID=MJLLFBCC_01758;Name=uao;gene=uao;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q45697;locus_tag=MJLLFBCC_01758;product=Uric acid degradation bifunctional protein
mtr_2	119	-0.0314	0.0314	0.021373109243697477	5.336345249964398e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06591596638655461	1.353083606322462e-9	ID=MJLLFBCC_04972;Name=mtr_2;gene=mtr_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02DS7;locus_tag=MJLLFBCC_04972;product=Tryptophan-specific transport protein
nrdD	119	-0.0314	0.0314	0.021373109243697477	5.336345249964398e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06591596638655461	1.353083606322462e-9	ID=MJLLFBCC_04977;eC_number=1.1.98.6;Name=nrdD;db_xref=COG:COG1328;gene=nrdD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P28903;locus_tag=MJLLFBCC_04977;product=Anaerobic ribonucleoside-triphosphate reductase
puuB_12	119	-0.0314	0.0314	0.021373109243697477	5.336345249964398e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06591596638655461	1.353083606322462e-9	ID=MJLLFBCC_04974;eC_number=1.4.3.-;Name=puuB_12;gene=puuB_12;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37906;locus_tag=MJLLFBCC_04974;product=Gamma-glutamylputrescine oxidoreductase
damX	117	-0.0314	0.0314	0.022275213675213672	4.939970527556748e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06591452991452991	1.2525788387844176e-9	ID=MJLLFBCC_05402;Name=damX;gene=damX;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_02021;locus_tag=MJLLFBCC_05402;product=Cell division protein DamX
gltB	117	-0.0314	0.0314	0.022275213675213672	4.939970527556748e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06591452991452991	1.2525788387844176e-9	ID=MJLLFBCC_05401;eC_number=1.4.1.13;Name=gltB;db_xref=COG:COG0067;gene=gltB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E1V8I1;locus_tag=MJLLFBCC_05401;product=Glutamate synthase [NADPH] large chain
gltD_2	117	-0.0314	0.0314	0.022275213675213672	4.939970527556748e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06591452991452991	1.2525788387844176e-9	ID=MJLLFBCC_05400;eC_number=1.4.1.13;Name=gltD_2;db_xref=COG:COG0493;gene=gltD_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E1V8I0;locus_tag=MJLLFBCC_05400;product=Glutamate synthase [NADPH] small chain
mexA	102	-0.0314	0.0314	0.028937254901960783	1.5006651912250057e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06590392156862745	3.8050863909880353e-10	ID=MJLLFBCC_01235;Name=mexA;gene=mexA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52477;locus_tag=MJLLFBCC_01235;product=Multidrug resistance protein MexA
mexB_2	102	-0.0314	0.0314	0.028937254901960783	1.5006651912250057e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06590392156862745	3.8050863909880353e-10	ID=MJLLFBCC_01236;Name=mexB_2;db_xref=COG:COG0841;gene=mexB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52002;locus_tag=MJLLFBCC_01236;product=Multidrug resistance protein MexB
mexR	102	-0.0314	0.0314	0.028937254901960783	1.5006651912250057e-4	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.06590392156862745	3.8050863909880353e-10	ID=MJLLFBCC_01234;Name=mexR;db_xref=COG:COG1846;gene=mexR;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52003;locus_tag=MJLLFBCC_01234;product=Multidrug resistance operon repressor
bioB	101	-0.0314	0.0314	0.030778217821782177	3.9047920792079114e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999425e-11	ID=MJLLFBCC_01308;eC_number=2.8.1.6;Name=bioB;db_xref=COG:COG0502;gene=bioB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P12996;locus_tag=MJLLFBCC_01308;product=Biotin synthase
bioF	101	-0.0314	0.0314	0.030778217821782177	3.9047920792079114e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999425e-11	ID=MJLLFBCC_01309;eC_number=2.3.1.47;Name=bioF;db_xref=COG:COG0156;gene=bioF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q146K3;locus_tag=MJLLFBCC_01309;product=8-amino-7-oxononanoate synthase
bioH	101	-0.0314	0.0314	0.030778217821782177	3.9047920792079114e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999425e-11	ID=MJLLFBCC_01310;eC_number=3.1.1.85;Name=bioH;gene=bioH;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8GHL1;locus_tag=MJLLFBCC_01310;product=Pimeloyl-[acyl-carrier protein] methyl ester esterase
copA_1	101	-0.0314	0.0314	0.030778217821782177	3.90479207920792e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999471e-11	ID=MJLLFBCC_01871;eC_number=3.6.3.54;Name=copA_1;gene=copA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P32113;locus_tag=MJLLFBCC_01871;product=putative copper-importing P-type ATPase A
eptA_2	101	-0.0314	0.0314	0.030778217821782177	3.904792079207912e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999428e-11	ID=MJLLFBCC_05024;eC_number=2.7.-.-;Name=eptA_2;db_xref=COG:COG2194;gene=eptA_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P36555;locus_tag=MJLLFBCC_05024;product=Phosphoethanolamine transferase EptA
hemN_2	101	-0.0314	0.0314	0.030778217821782177	3.90479207920792e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999471e-11	ID=MJLLFBCC_01868;eC_number=1.3.98.3;Name=hemN_2;db_xref=COG:COG0635;gene=hemN_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P77915;locus_tag=MJLLFBCC_01868;product=Oxygen-independent coproporphyrinogen III oxidase
phnM	101	-0.0314	0.0314	0.030778217821782177	3.904792079207913e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999434e-11	ID=MJLLFBCC_00061;eC_number=3.6.1.63;Name=phnM;db_xref=COG:COG3454;gene=phnM;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16689;locus_tag=MJLLFBCC_00061;product=Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
phnN	101	-0.0314	0.0314	0.030778217821782177	3.904792079207913e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999434e-11	ID=MJLLFBCC_00060;eC_number=2.7.4.23;Name=phnN;db_xref=COG:COG3709;gene=phnN;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16690;locus_tag=MJLLFBCC_00060;product=Ribose 1%2C5-bisphosphate phosphokinase PhnN
phnP	101	-0.0314	0.0314	0.030778217821782177	3.904792079207913e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999434e-11	ID=MJLLFBCC_00059;eC_number=3.1.4.55;Name=phnP;db_xref=COG:COG1235;gene=phnP;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16692;locus_tag=MJLLFBCC_00059;product=Phosphoribosyl 1%2C2-cyclic phosphate phosphodiesterase
rcsC_13	101	-0.0314	0.0314	0.030778217821782177	3.904792079207912e-5	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999428e-11	ID=MJLLFBCC_05028;eC_number=2.7.13.3;Name=rcsC_13;gene=rcsC_13;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00979;locus_tag=MJLLFBCC_05028;product=Sensor histidine kinase RcsC
dat	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_02544;eC_number=2.6.1.76;Name=dat;db_xref=COG:COG0160;gene=dat;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P56744;locus_tag=MJLLFBCC_02544;product=Diaminobutyrate--2-oxoglutarate aminotransferase
fliY_1	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_01119;Name=fliY_1;db_xref=COG:COG0834;gene=fliY_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEM9;locus_tag=MJLLFBCC_01119;product=L-cystine-binding protein FliY
mbtH	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_02543;Name=mbtH;db_xref=COG:COG3251;gene=mbtH;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WIP5;locus_tag=MJLLFBCC_02543;product=Protein MbtH
mrpG	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_03687;Name=mrpG;db_xref=COG:COG1320;gene=mrpG;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9RGY9;locus_tag=MJLLFBCC_03687;product=Na(+)/H(+) antiporter subunit G
pikAII	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04208;eC_number=2.3.1.239;Name=pikAII;gene=pikAII;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZGI4;locus_tag=MJLLFBCC_04208;product=Narbonolide/10-deoxymethynolide synthase PikA2%2C modules 3 and 4
potA_6	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04206;eC_number=3.6.3.31;Name=potA_6;db_xref=COG:COG3842;gene=potA_6;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P69874;locus_tag=MJLLFBCC_04206;product=Spermidine/putrescine import ATP-binding protein PotA
prc	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04209;eC_number=3.4.21.102;Name=prc;db_xref=COG:COG0793;gene=prc;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23865;locus_tag=MJLLFBCC_04209;product=Tail-specific protease
sbnA	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_03685;Name=sbnA;db_xref=COG:COG0031;gene=sbnA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2G1N3;locus_tag=MJLLFBCC_03685;product=putative siderophore biosynthesis protein SbnA
serA	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_01121;eC_number=1.1.1.95;Name=serA;db_xref=COG:COG0111;gene=serA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A9T0;locus_tag=MJLLFBCC_01121;product=D-3-phosphoglycerate dehydrogenase
treA	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_02547;eC_number=3.2.1.28;Name=treA;db_xref=COG:COG1626;gene=treA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13482;locus_tag=MJLLFBCC_02547;product=Periplasmic trehalase
wecC	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=HHAIMIIE_03448;eC_number=1.1.1.336;Name=wecC;db_xref=COG:COG0677;gene=wecC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27829;locus_tag=HHAIMIIE_03448;product=UDP-N-acetyl-D-mannosamine dehydrogenase
wzzB	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=HHAIMIIE_03451;Name=wzzB;db_xref=COG:COG3765;gene=wzzB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37792;locus_tag=HHAIMIIE_03451;product=Chain length determinant protein
yecS_1	100	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_01118;Name=yecS_1;db_xref=COG:COG0765;gene=yecS_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFT2;locus_tag=MJLLFBCC_01118;product=L-cystine transport system permease protein YecS
aroP_2	29	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04096;Name=aroP_2;db_xref=COG:COG1113;gene=aroP_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P15993;locus_tag=MJLLFBCC_04096;product=Aromatic amino acid transport protein AroP
catM	29	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04099;Name=catM;gene=catM;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07774;locus_tag=MJLLFBCC_04099;product=HTH-type transcriptional regulator CatM
yafV_2	29	0.0314	0.0314	0.0314	0	7.022733787572707	7.022733787572707	7.022733787572707	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04102;eC_number=3.5.1.3;Name=yafV_2;gene=yafV_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0DP65;locus_tag=MJLLFBCC_04102;product=Omega-amidase YafV
clpP_6	2	0.019	0.0198	0.0194	3.200000000000017e-7	7.201349354554731	7.536107011014093	7.368728182784412	0.05603134427908217	0.253	0.264	0.2585	6.050000000000011e-5	ID=MJLLFBCC_05563;eC_number=3.4.21.92;Name=clpP_6;gene=clpP_6;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00444;locus_tag=MJLLFBCC_05563;product=ATP-dependent Clp protease proteolytic subunit
emrB_3	2	0.019	0.0198	0.0194	3.200000000000017e-7	7.201349354554731	7.536107011014093	7.368728182784412	0.05603134427908217	0.253	0.264	0.2585	6.050000000000011e-5	ID=MJLLFBCC_05543;Name=emrB_3;gene=emrB_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEJ0;locus_tag=MJLLFBCC_05543;product=Multidrug export protein EmrB
