gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
kup	60	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00764;Name=kup;gene=kup;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01522;locus_tag=MJLLFBCC_00764;product=Low affinity potassium transport system protein kup
prtR_1	60	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00775;Name=prtR_1;db_xref=COG:COG2932;gene=prtR_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q06553;locus_tag=MJLLFBCC_00775;product=HTH-type transcriptional regulator PrtR
rimO_1	60	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00765;eC_number=2.8.4.4;Name=rimO_1;db_xref=COG:COG0621;gene=rimO_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEI4;locus_tag=MJLLFBCC_00765;product=Ribosomal protein S12 methylthiotransferase RimO
yaeQ	58	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00499;Name=yaeQ;db_xref=COG:COG4681;gene=yaeQ;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AA97;locus_tag=MJLLFBCC_00499;product=putative protein YaeQ
ydjF	58	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00504;Name=ydjF;db_xref=COG:COG1842;gene=ydjF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54617;locus_tag=MJLLFBCC_00504;product=Phage shock protein A
nusG	41	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_02763;Name=nusG;db_xref=COG:COG0250;gene=nusG;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFG1;locus_tag=MJLLFBCC_02763;product=Transcription termination/antitermination protein NusG
tuf1_1	41	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_02760;Name=tuf1_1;gene=tuf1_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02T82;locus_tag=MJLLFBCC_02760;product=Elongation factor Tu
mexA	9	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_01235;Name=mexA;gene=mexA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52477;locus_tag=MJLLFBCC_01235;product=Multidrug resistance protein MexA
mexB_2	9	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_01236;Name=mexB_2;db_xref=COG:COG0841;gene=mexB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52002;locus_tag=MJLLFBCC_01236;product=Multidrug resistance protein MexB
oprM_1	9	-0.0192	-0.0192	-0.0192	0	7.838631997765025	7.838631997765025	7.838631997765025	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_01237;Name=oprM_1;db_xref=COG:COG1538;gene=oprM_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q51487;locus_tag=MJLLFBCC_01237;product=Outer membrane protein OprM
