gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
ramA	52	0.125	0.125	0.125	0	7.281498311132726	7.281498311132726	7.281498311132726	0	0.0989	0.0989	0.0989	0	ID=MJLLFBCC_00267;eC_number=3.5.1.100;Name=ramA;gene=ramA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q75SP7;locus_tag=MJLLFBCC_00267;product=(R)-stereoselective amidase
lifO	49	-0.153	-0.153	-0.153	0	7.3872161432802645	7.3872161432802645	7.3872161432802645	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_06166;Name=lifO;gene=lifO;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00790;locus_tag=MJLLFBCC_06166;product=Lipase chaperone
lip_2	49	-0.153	-0.153	-0.153	0	7.3872161432802645	7.3872161432802645	7.3872161432802645	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_06167;eC_number=3.1.1.3;Name=lip_2;db_xref=COG:COG1075;gene=lip_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P26876;locus_tag=MJLLFBCC_06167;product=Triacylglycerol lipase
hxuB_2	29	-0.157	-0.157	-0.157	0	7.208309350979882	7.208309350979882	7.208309350979882	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_04619;Name=hxuB_2;db_xref=COG:COG2831;gene=hxuB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P45356;locus_tag=MJLLFBCC_04619;product=Heme/hemopexin transporter protein HuxB
soj_3	29	-0.157	-0.157	-0.157	0	7.208309350979882	7.208309350979882	7.208309350979882	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_04621;eC_number=3.6.-.-;Name=soj_3;db_xref=COG:COG1192;gene=soj_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37522;locus_tag=MJLLFBCC_04621;product=Sporulation initiation inhibitor protein Soj
ykgO	15	0.125	0.125	0.125	0	7.281498311132726	7.281498311132726	7.281498311132726	0	0.0989	0.0989	0.0989	0	ID=MJLLFBCC_00269;Name=ykgO;db_xref=COG:COG0257;gene=ykgO;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2EEQ2;locus_tag=MJLLFBCC_00269;product=50S ribosomal protein L36 2
sotB_1	6	-0.153	-0.153	-0.153	0	7.3872161432802645	7.3872161432802645	7.3872161432802645	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_01482;Name=sotB_1;gene=sotB_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9S3J9;locus_tag=MJLLFBCC_01482;product=Sugar efflux transporter B
glgA	5	-0.125	-0.125	-0.125	0	7.281498311132726	7.281498311132726	7.281498311132726	0	0.09899999999999998	0.09899999999999998	0.09899999999999998	0	ID=MJLLFBCC_04012;eC_number=2.4.1.21;Name=glgA;db_xref=COG:COG0297;gene=glgA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A6U8;locus_tag=MJLLFBCC_04012;product=Glycogen synthase
hss	5	-0.157	-0.157	-0.157	0	7.208309350979882	7.208309350979882	7.208309350979882	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_03960;eC_number=2.5.1.44;Name=hss;gene=hss;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32323;locus_tag=MJLLFBCC_03960;product=Homospermidine synthase
cspD	3	-0.157	-0.157	-0.157	0	7.208309350979882	7.208309350979882	7.208309350979882	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_03887;Name=cspD;db_xref=COG:COG1278;gene=cspD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A968;locus_tag=MJLLFBCC_03887;product=Cold shock-like protein CspD
icd_1	3	-0.157	-0.157	-0.157	0	7.208309350979882	7.208309350979882	7.208309350979882	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_03888;eC_number=1.1.1.42;Name=icd_1;gene=icd_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02NB5;locus_tag=MJLLFBCC_03888;product=Isocitrate dehydrogenase [NADP]
