gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
pyridine nucleotide transhydrogenase, beta subunit	166	-1.86	1.86	0.24650602409638556	3.419433778751374	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.0879433734939759	2.470974808322285e-9	ID=CDS103126;Parent=gene103125;locus=PA0195.1;name=putative NAD(P) transhydrogenase, subunit alpha part 2;|ID=gene103125;Alias=PA0195.1;name=pntAB;Dbxref=GeneID:878346|ID=CDS103128;Parent=gene103127;locus=PA0196;name=pyridine nucleotide transhydrogenase, beta subunit;|ID=gene103127;Alias=PA0196;name=pntB;Dbxref=GeneID:878146
elongation factor G	132	-1.86	1.86	0.9581818181818182	2.5608882720333086	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.08792424242424242	1.8505667360614836e-9	ID=CDS111353;Parent=gene111352;locus=PA4266;name=elongation factor G;|ID=gene111352;Alias=PA4266;name=fusA1;Dbxref=GeneID:881744
hypothetical protein	83	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=CDS110058;Parent=gene110057;locus=PA3619;name=hypothetical protein;|ID=gene110057;Alias=PA3619;name=PA3619;Dbxref=GeneID:880188
gene108308	81	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=CDS108309;Parent=gene108308;locus=PA2760;name=OprQ;|ID=gene108308;Alias=PA2760;name=oprQ;Dbxref=GeneID:882719
hydrogen cyanide synthase HcnC	58	-1.76	-1.58	-1.6094827586206897	0.004247096188747731	7.498940737782249	8.314258261397736	7.657856021063125	0.08614626369054508	0.09899999999999998	0.23099999999999998	0.19686206896551722	0.0027880508166969143	ID=CDS107171;Parent=gene107170;locus=PA2195;name=hydrogen cyanide synthase HcnC;|ID=gene107170;Alias=PA2195;name=hcnC;Dbxref=GeneID:882196
transcriptional regulator NfxB	55	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=CDS112049;Parent=gene112048;locus=PA4600;name=transcriptional regulator NfxB;|ID=gene112048;Alias=PA4600;name=nfxB;Dbxref=GeneID:881079
UDP-N-acetylmuramoylalanine--D-glutamate ligase	52	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=CDS111659;Parent=gene111658;locus=PA4410;name=D-alanine--D-alanine ligase;|ID=gene111658;Alias=PA4410;name=ddlB;Dbxref=GeneID:881282|ID=CDS111661;Parent=gene111660;locus=PA4411;name=UDP-N-acetylmuramate--alanine ligase;|ID=gene111660;Alias=PA4411;name=murC;Dbxref=GeneID:881283|ID=CDS111663;Parent=gene111662;locus=PA4412;name=UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase;|ID=gene111662;Alias=PA4412;name=murG;Dbxref=GeneID:881264|ID=CDS111665;Parent=gene111664;locus=PA4413;name=cell division protein FtsW;|ID=gene111664;Alias=PA4413;name=ftsW;Dbxref=GeneID:881267|ID=CDS111667;Parent=gene111666;locus=PA4414;name=UDP-N-acetylmuramoylalanine--D-glutamate ligase;|ID=gene111666;Alias=PA4414;name=murD;Dbxref=GeneID:881268
protocatechuate 3,4-dioxygenase, alpha subunit	35	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=CDS103042;Parent=gene103041;locus=PA0154;name=protocatechuate 3,4-dioxygenase, alpha subunit;|ID=gene103041;Alias=PA0154;name=pcaG;Dbxref=GeneID:882145
gene113530	32	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=CDS113531;Parent=gene113530;locus=PA5328;name=SphB;|ID=gene113530;Alias=PA5328;name=sphB;Dbxref=GeneID:878251
PA5471 leader peptide	27	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=CDS277684;Parent=gene277683;locus=PA5471.1;name=PA5471 leader peptide;|ID=gene277683;Alias=PA5471.1;name=PA5471.1
