gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
chemotactic transducer PctB	257	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS111459;Parent=gene111458;locus=PA4310;name=chemotactic transducer PctB;|ID=gene111458;Alias=PA4310;name=pctB;Dbxref=GeneID:881566
hypothetical protein	253	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS113417;Parent=gene113416;locus=PA5271;name=hypothetical protein;|ID=gene113416;Alias=PA5271;name=PA5271;Dbxref=GeneID:877743
conserved hypothetical protein	212	-1.32	-0.558	-1.3019009433962265	0.008826174975409095	7.260427655549908	9.779891911959945	9.699895443753002	0.16541478441974591	0.01100000000000001	0.07699999999999996	0.011674528301886802	2.4201622999195222e-5	ID=CDS133893;Parent=gene133892;locus=PA5568;name=conserved hypothetical protein;|ID=gene133892;Alias=PA5568;name=PA5568;Dbxref=GeneID:878127
heat shock protein HtpG	117	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS105963;Parent=gene105962;locus=PA1596;name=heat shock protein HtpG;|ID=gene105962;Alias=PA1596;name=htpG;Dbxref=GeneID:881933
probable major facilitator superfamily (MFS) transporter	111	-1.32	-0.885	-1.3150900900900901	0.0018059009009008975	7.632644078973981	19.171984935776024	9.84516078755301	0.8395383793166051	0.01100000000000001	0.02200000000000002	0.011198198198198207	2.160360360360366e-6	ID=CDS111073;Parent=gene111072;locus=PA4126;name=probable major facilitator superfamily (MFS) transporter;|ID=gene111072;Alias=PA4126;name=PA4126;Dbxref=GeneID:878650
50S ribosomal protein L32	100	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108737;Parent=gene108736;locus=PA2970;name=50S ribosomal protein L32;|ID=gene108736;Alias=PA2970;name=rpmF;Dbxref=GeneID:880144
DNA-directed RNA polymerase beta* chain	100	-1.32	-0.899	-1.07161	0.0433076746464647	9.189767482004916	9.779891911959945	9.431718498286477	0.0850918295762789	0.01100000000000001	0.02200000000000002	0.017490000000000016	2.9565555555555656e-5	ID=CDS111359;Parent=gene111358;locus=PA4269;name=DNA-directed RNA polymerase beta* chain;|ID=gene111358;Alias=PA4269;name=rpoC;Dbxref=GeneID:881710
gene102891	100	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS102892;Parent=gene102891;locus=PA0079;name=TssK1;|ID=gene102891;Alias=PA0079;name=tssK1;Dbxref=GeneID:879382
probable hydrolase	100	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS111123;Parent=gene111122;locus=PA4151;name=acetoin catabolism protein AcoB;|ID=gene111122;Alias=PA4151;name=acoB;Dbxref=GeneID:880055|ID=CDS111125;Parent=gene111124;locus=PA4152;name=probable hydrolase;|ID=gene111124;Alias=PA4152;name=PA4152;Dbxref=GeneID:880133
probable transcriptional regulator	100	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS113649;Parent=gene113648;locus=PA5382;name=probable transcriptional regulator;|ID=gene113648;Alias=PA5382;name=PA5382;Dbxref=GeneID:881409
type III export protein PscE	100	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS106205;Parent=gene106204;locus=PA1717;name=type III export protein PscD;|ID=gene106204;Alias=PA1717;name=pscD;Dbxref=GeneID:877924|ID=CDS106207;Parent=gene106206;locus=PA1718;name=type III export protein PscE;|ID=gene106206;Alias=PA1718;name=pscE;Dbxref=GeneID:881908
probable siderophore receptor	81	-1.21	-1.21	-1.21	0	19.171984935776024	19.171984935776024	19.171984935776024	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=CDS105499;Parent=gene105498;locus=PA1365;name=probable siderophore receptor;|ID=gene105498;Alias=PA1365;name=PA1365;Dbxref=GeneID:878106
phosphatidylserine decarboxylase	79	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS112785;Parent=gene112784;locus=PA4957;name=phosphatidylserine decarboxylase;|ID=gene112784;Alias=PA4957;name=psd;Dbxref=GeneID:879173
prolyl-tRNA synthetase	76	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS104675;Parent=gene104674;locus=PA0956;name=prolyl-tRNA synthetase;|ID=gene104674;Alias=PA0956;name=proS;Dbxref=GeneID:879563
thiosulfate:cyanide sulfurtransferase	76	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS112783;Parent=gene112782;locus=PA4956;name=thiosulfate:cyanide sulfurtransferase;|ID=gene112782;Alias=PA4956;name=rhdA;Dbxref=GeneID:879172
electron transfer flavoprotein beta-subunit	67	-1.32	-0.655	-0.7947014925373134	0.011260515603799185	9.319664486585436	13.064996848546345	11.953856254309873	2.948397739744454	0.01100000000000001	0.05500000000000005	0.046626865671641836	4.4328358208955234e-5	ID=CDS108699;Parent=gene108698;locus=PA2951;name=electron transfer flavoprotein alpha-subunit;|ID=gene108698;Alias=PA2951;name=etfA;Dbxref=GeneID:882932|ID=CDS108701;Parent=gene108700;locus=PA2952;name=electron transfer flavoprotein beta-subunit;|ID=gene108700;Alias=PA2952;name=etfB;Dbxref=GeneID:880158
probable cytochrome c	65	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS105971;Parent=gene105970;locus=PA1600;name=probable cytochrome c;|ID=gene105970;Alias=PA1600;name=PA1600;Dbxref=GeneID:881945
isocitrate dehydrogenase	64	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108033;Parent=gene108032;locus=PA2623;name=isocitrate dehydrogenase;|ID=gene108032;Alias=PA2623;name=icd;Dbxref=GeneID:882329
probable quinone oxidoreductase	64	-0.885	-0.885	-0.885	0	7.632644078973981	7.632644078973981	7.632644078973981	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=CDS108147;Parent=gene108146;locus=PA2680;name=probable quinone oxidoreductase;|ID=gene108146;Alias=PA2680;name=PA2680;Dbxref=GeneID:882752
probable transport protein	62	-1.32	-0.87	-1.2619354838709678	0.02313061872025386	7.928117992693875	9.779891911959945	9.540953341732065	0.3916860898910571	0.01100000000000001	0.02200000000000002	0.012419354838709689	1.3821258593336872e-5	ID=CDS111507;Parent=gene111506;locus=PA4334;name=probable transport protein;|ID=gene111506;Alias=PA4334;name=PA4334;Dbxref=GeneID:881479
Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB	61	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS103590;Parent=gene103589;locus=PA0426;name=Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB;|ID=gene103589;Alias=PA0426;name=mexB;Dbxref=GeneID:877852
DNA mismatch repair protein MutS	54	-1.32	-0.84	-1.24	0.03260377358490563	9.779891911959945	13.064996848546345	10.327409401391012	1.5271577043940092	0.01100000000000001	0.04400000000000004	0.016500000000000015	1.5410377358490598e-4	ID=CDS110060;Parent=gene110059;locus=PA3620;name=DNA mismatch repair protein MutS;|ID=gene110059;Alias=PA3620;name=mutS;Dbxref=GeneID:880229
probable radical activating enzyme	53	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS104713;Parent=gene104712;locus=PA0975;name=probable radical activating enzyme;|ID=gene104712;Alias=PA0975;name=PA0975;Dbxref=GeneID:877667
probable class III aminotransferase	47	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS112477;Parent=gene112476;locus=PA4805;name=probable class III aminotransferase;|ID=gene112476;Alias=PA4805;name=PA4805;Dbxref=GeneID:880237
probable decarboxylase	47	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS106997;Parent=gene106996;locus=PA2108;name=probable decarboxylase;|ID=gene106996;Alias=PA2108;name=PA2108;Dbxref=GeneID:880037
phenazine biosynthesis protein PhzE	46	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS111245;Parent=gene111244;locus=PA4212;name=phenazine biosynthesis protein PhzC;|ID=gene111244;Alias=PA4212;name=phzC1;Dbxref=GeneID:880519|ID=CDS111247;Parent=gene111246;locus=PA4213;name=phenazine biosynthesis protein PhzD;|ID=gene111246;Alias=PA4213;name=phzD1;Dbxref=GeneID:880504|ID=CDS111249;Parent=gene111248;locus=PA4214;name=phenazine biosynthesis protein PhzE;|ID=gene111248;Alias=PA4214;name=phzE1;Dbxref=GeneID:880505
stringent starvation protein B	44	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS111693;Parent=gene111692;locus=PA4427;name=stringent starvation protein B;|ID=gene111692;Alias=PA4427;name=sspB;Dbxref=GeneID:881226
polyamine transport protein PotG	43	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS103342;Parent=gene103341;locus=PA0302;name=polyamine transport protein PotG;|ID=gene103341;Alias=PA0302;name=spuF;Dbxref=GeneID:877636
Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor	43	-1.32	-0.623	-0.6947209302325581	0.018633348837209286	8.928117992693874	13.064996848546345	10.006198023708833	3.3095219134948883	0.01100000000000001	0.05500000000000005	0.051162790697674466	6.271096345514954e-5	ID=CDS103588;Parent=gene103587;locus=PA0425;name=Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor;|ID=gene103587;Alias=PA0425;name=mexA;Dbxref=GeneID:877855
probable acyl-CoA dehydrogenase	41	-1.32	-0.899	-0.9195365853658537	0.008429754878048775	9.189767482004916	9.779891911959945	9.218554039563697	0.016562959598000204	0.01100000000000001	0.02200000000000002	0.02146341463414636	5.754878048780496e-6	ID=CDS112829;Parent=gene112828;locus=PA4979;name=probable acyl-CoA dehydrogenase;|ID=gene112828;Alias=PA4979;name=PA4979;Dbxref=GeneID:880425
probable lyase	38	-1.32	-1.32	-1.32	0	9.779891911959945	9.779891911959945	9.779891911959945	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS109852;Parent=gene109851;locus=PA3516;name=probable lyase;|ID=gene109851;Alias=PA3516;name=PA3516;Dbxref=GeneID:879993|ID=CDS109854;Parent=gene109853;locus=PA3517;name=probable lyase;|ID=gene109853;Alias=PA3517;name=PA3517;Dbxref=GeneID:879063
probable sodium/hydrogen antiporter	38	-0.694	-0.694	-0.694	0	9.58335949266172	9.58335949266172	9.58335949266172	0	0.06599999999999995	0.06599999999999995	0.06599999999999995	0	ID=CDS110140;Parent=gene110139;locus=PA3660;name=probable sodium/hydrogen antiporter;|ID=gene110139;Alias=PA3660;name=PA3660;Dbxref=GeneID:880571
