gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
aroA	100	-0.457	-0.258	-0.28785	0.0051001287878787915	11.517126416391246	22.565431095965803	13.17437211832743	15.720497098303435	0.01100000000000001	0.02200000000000002	0.020350000000000017	1.558333333333337e-5	ID=MJLLFBCC_05859;eC_number=2.5.1.19;Name=aroA;gene=aroA;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00210;locus_tag=MJLLFBCC_05859;product=3-phosphoshikimate 1-carboxyvinyltransferase
cysM	100	-0.457	-0.457	-0.457	0	22.565431095965803	22.565431095965803	22.565431095965803	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_00748;eC_number=2.5.1.47;Name=cysM;db_xref=COG:COG0031;gene=cysM;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16703;locus_tag=MJLLFBCC_00748;product=Cysteine synthase B
eco	100	-0.457	-0.258	-0.45103000000000004	0.0011640293939393933	11.517126416391246	22.565431095965803	22.233981955578567	3.587972278906902	0.01100000000000001	0.02200000000000002	0.01133000000000001	3.5566666666666736e-6	ID=MJLLFBCC_03024;Name=eco;db_xref=COG:COG4574;gene=eco;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23827;locus_tag=MJLLFBCC_03024;product=Ecotin
mdtK_2	100	-0.457	-0.457	-0.457	0	22.565431095965803	22.565431095965803	22.565431095965803	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02179;Name=mdtK_2;db_xref=COG:COG0534;gene=mdtK_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37340;locus_tag=MJLLFBCC_02179;product=Multidrug resistance protein MdtK
nuoJ	100	-0.457	-0.457	-0.457	0	22.565431095965803	22.565431095965803	22.565431095965803	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_03910;eC_number=1.6.5.11;Name=nuoJ;db_xref=COG:COG0839;gene=nuoJ;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFE0;locus_tag=MJLLFBCC_03910;product=NADH-quinone oxidoreductase subunit J
phnR_3	100	-0.457	-0.247	-0.2974	0.008125090909090917	10.438898616350944	22.565431095965803	13.34926641145851	27.093362517371414	0.01100000000000001	0.02200000000000002	0.019360000000000016	2.229333333333339e-5	ID=MJLLFBCC_04201;Name=phnR_3;db_xref=COG:COG2188;gene=phnR_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7CR30;locus_tag=MJLLFBCC_04201;product=Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
potA_6	100	-0.457	-0.247	-0.2974	0.008125090909090917	10.438898616350944	22.565431095965803	13.34926641145851	27.093362517371414	0.01100000000000001	0.02200000000000002	0.019360000000000016	2.229333333333339e-5	ID=MJLLFBCC_04206;eC_number=3.6.3.31;Name=potA_6;db_xref=COG:COG3842;gene=potA_6;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P69874;locus_tag=MJLLFBCC_04206;product=Spermidine/putrescine import ATP-binding protein PotA
rcsC_13	100	-0.457	-0.457	-0.457	0	22.565431095965803	22.565431095965803	22.565431095965803	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05028;eC_number=2.7.13.3;Name=rcsC_13;gene=rcsC_13;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00979;locus_tag=MJLLFBCC_05028;product=Sensor histidine kinase RcsC
ccoP1	89	-0.457	-0.216	-0.4001348314606742	0.010589845250255352	7.665546248849069	22.565431095965803	19.04972792979219	40.47821498430533	0.01100000000000001	0.02200000000000002	0.01359550561797754	2.2061797752809017e-5	ID=MJLLFBCC_04959;Name=ccoP1;gene=ccoP1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:D9IA45;locus_tag=MJLLFBCC_04959;product=Cbb3-type cytochrome c oxidase subunit CcoP1
psd	82	-0.457	-0.457	-0.457	0	22.565431095965803	22.565431095965803	22.565431095965803	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05320;eC_number=4.1.1.65;Name=psd;db_xref=COG:COG0688;gene=psd;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A8K1;locus_tag=MJLLFBCC_05320;product=Phosphatidylserine decarboxylase proenzyme
