gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
hypothetical protein	473	-0.156	-0.0627	-0.1451906976744186	6.462196166732383e-4	7.070070439915412	18.010550182333308	16.680476786471818	9.827695561604079	0.01100000000000001	0.03300000000000003	0.012767441860465127	1.789071738273541e-5	ID=CDS250793;Parent=gene250792;locus=PALES_33491;name=hypothetical protein;|ID=gene250792;Alias=PALES_33491;name=PALES_33491;Dbxref=GeneID:7177662
cysteine synthase B	100	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS104627;Parent=gene104626;locus=PA0932;name=cysteine synthase B;|ID=gene104626;Alias=PA0932;name=cysM;Dbxref=GeneID:881832
ecotin precursor	100	-0.156	-0.0899	-0.154017	1.284282939393942e-4	10.232102383981909	18.010550182333308	17.777196748382767	1.7784582620341636	0.01100000000000001	0.02200000000000002	0.01133000000000001	3.5566666666666736e-6	ID=CDS108299;Parent=gene108298;locus=PA2755;name=ecotin precursor;|ID=gene108298;Alias=PA2755;name=eco;Dbxref=GeneID:882725
histidinol-phosphate aminotransferase	100	-0.156	-0.0899	-0.099815	5.627012878787873e-4	10.232102383981909	18.010550182333308	11.398869553734619	7.792214034685772	0.01100000000000001	0.02200000000000002	0.020350000000000017	1.558333333333337e-5	ID=CDS109141;Parent=gene109140;locus=PA3163;name=cytidylate kinase;|ID=gene109140;Alias=PA3163;name=cmk;Dbxref=GeneID:878958|ID=pseudo109142;Alias=PA3164;name=still frameshift 3-phosphoshikimate 1-carboxyvinyltransferase prephenate dehydrogenase|ID=CDS109144;Parent=gene109143;locus=PA3165;name=histidinol-phosphate aminotransferase;|ID=gene109143;Alias=PA3165;name=hisC2;Dbxref=GeneID:882694
NADH dehydrogenase I chain J	100	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108077;Parent=gene108076;locus=PA2645;name=NADH dehydrogenase I chain J;|ID=gene108076;Alias=PA2645;name=nuoJ;Dbxref=GeneID:882354
probable permease of ABC transporter	100	-0.156	-0.0859	-0.10272400000000001	9.053691151515151e-4	9.197226274708024	18.010550182333308	11.312424012538091	14.310971032374969	0.01100000000000001	0.02200000000000002	0.019360000000000016	2.229333333333339e-5	ID=CDS109316;Parent=gene109315;locus=PA3251;name=hypothetical protein;|ID=gene109315;Alias=PA3251;name=PA3251;Dbxref=GeneID:882414|ID=CDS109318;Parent=gene109317;locus=PA3252;name=probable permease of ABC transporter;|ID=gene109317;Alias=PA3252;name=PA3252;Dbxref=GeneID:882415|ID=CDS109320;Parent=gene109319;locus=PA3253;name=probable permease of ABC transporter;|ID=gene109319;Alias=PA3253;name=PA3253;Dbxref=GeneID:882416
probable acyl-CoA dehydrogenase	97	-0.156	-0.0636	-0.10538969072164948	0.0020770740592783517	7.238824186844268	18.010550182333308	12.109255808300189	28.125831853427837	0.01100000000000001	0.03300000000000003	0.022793814432989713	1.1658204467353972e-4	ID=CDS112859;Parent=gene112858;locus=PA4994;name=probable acyl-CoA dehydrogenase;|ID=gene112858;Alias=PA4994;name=PA4994;Dbxref=GeneID:880234
phosphatidylserine decarboxylase	82	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS112785;Parent=gene112784;locus=PA4957;name=phosphatidylserine decarboxylase;|ID=gene112784;Alias=PA4957;name=psd;Dbxref=GeneID:879173
probable transcriptional regulator	69	-0.156	-0.0859	-0.12145797101449275	0.00124630688405797	9.197226274708024	18.010550182333308	13.667752894517951	19.700099569023024	0.01100000000000001	0.02200000000000002	0.01642028985507248	3.0688405797101523e-05	ID=CDS113461;Parent=gene113460;locus=PA5293;name=probable transcriptional regulator;|ID=gene113460;Alias=PA5293;name=PA5293;Dbxref=GeneID:880555
Cytochrome c oxidase, cbb3-type, CcoQ subunit	68	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS105881;Parent=gene105880;locus=PA1555;name=Cytochrome c oxidase, cbb3-type, CcoP subunit;|ID=gene105880;Alias=PA1555;name=ccoP2;Dbxref=GeneID:883066|ID=CDS302412;Parent=gene302411;locus=PA1555.1;name=Cytochrome c oxidase, cbb3-type, CcoQ subunit;|ID=gene302411;Alias=PA1555.1;name=ccoQ2;Dbxref=GeneID:9793391
Cytochrome c oxidase, cbb3-type, CcoN subunit	65	-0.156	-0.0807	-0.15136615384615384	3.3257258653846135e-4	7.982966660701219	18.010550182333308	17.39346811946364	5.897786834886308	0.01100000000000001	0.02200000000000002	0.011676923076923086	7.097115384615391e-6	ID=CDS105879;Parent=gene105878;locus=PA1554;name=Cytochrome c oxidase, cbb3-type, CcoN subunit;|ID=gene105878;Alias=PA1554;name=ccoN1;Dbxref=GeneID:883001
polyamine transport protein PotG	60	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS103342;Parent=gene103341;locus=PA0302;name=polyamine transport protein PotG;|ID=gene103341;Alias=PA0302;name=spuF;Dbxref=GeneID:877636
conserved hypothetical protein	52	-0.156	-0.0816	-0.09822307692307693	8.137712217194575e-4	8.188424994129406	18.010550182333308	10.620495912172489	13.444276222954597	0.01100000000000001	0.02200000000000002	0.019884615384615403	1.9162895927601846e-5	ID=CDS112927;Parent=gene112926;locus=PA5028;name=conserved hypothetical protein;|ID=gene112926;Alias=PA5028;name=PA5028;Dbxref=GeneID:881175
