gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
probable major facilitator superfamily (MFS) transporter	134	-10.4	-6.79	-9.228805970149255	2.37293390191898	7.8696662315049934	13.806875401645538	11.951004554331645	6.043747963301874	0.01100000000000001	0.10999999999999999	0.032671641791044786	0.001180778588261698	ID=CDS112093;Parent=gene112092;locus=PA4622;name=probable major facilitator superfamily (MFS) transporter;|ID=gene112092;Alias=PA4622;name=PA4622;Dbxref=GeneID:881168
conserved hypothetical protein	129	-10.4	-5.12	-7.046046511627907	1.9907162790697703	7.0762380391713	13.806875401645538	8.498261501676604	3.5523713356227082	0.01100000000000001	0.385	0.11912403100775194	0.018331734496124068	ID=CDS112425;Parent=gene112424;locus=PA4780;name=conserved hypothetical protein;|ID=gene112424;Alias=PA4780;name=PA4780;Dbxref=GeneID:880057
long-chain-fatty-acid--CoA ligase	100	-10.4	-7.6	-10.148	0.6485818181818193	8.847711655616944	13.806875401645538	13.360550664502965	2.0345370549573825	0.01100000000000001	0.09899999999999998	0.018920000000000006	6.406399999999994e-4	ID=CDS109418;Parent=gene109417;locus=PA3300;name=long-chain-fatty-acid--CoA ligase;|ID=gene109417;Alias=PA3300;name=fadD2;Dbxref=GeneID:882465
probable transporter	100	-10.4	-6.7	-7.9038	2.963078343434343	7.8696662315049934	13.806875401645538	9.775581903456018	7.724958397961875	0.01100000000000001	0.10999999999999999	0.03784000000000001	0.001506559999999999	ID=CDS113905;Parent=gene113904;locus=PA5510;name=probable transporter;|ID=gene113904;Alias=PA5510;name=PA5510;Dbxref=GeneID:878063
probable decarboxylase	91	-5.68	-4.3	-4.984395604395604	0.4596915750915757	7.543633966870957	12.11690664142431	9.918954173739623	4.726585287294954	0.04400000000000004	0.15400000000000003	0.06273626373626377	0.0013054407814407799	ID=CDS106997;Parent=gene106996;locus=PA2108;name=probable decarboxylase;|ID=gene106996;Alias=PA2108;name=PA2108;Dbxref=GeneID:880037
HHAIMIIE_03448	84	5.35	5.35	5.35	0	7.22767829327708	7.22767829327708	7.22767829327708	0	0.0879	0.0879	0.0879	0	ID=HHAIMIIE_03448;eC_number=1.1.1.336;Name=wecC;db_xref=COG:COG0677;gene=wecC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27829;locus_tag=HHAIMIIE_03448;product=UDP-N-acetyl-D-mannosamine dehydrogenase
quorum threshold expression element, QteE	67	-10.4	-6.72	-9.960597014925373	1.445502668475801	7.482804102050026	13.806875401645538	13.05176241064906	4.26890780703698	0.01100000000000001	0.04400000000000004	0.0149402985074627	1.1623880597014939e-4	ID=CDS107971;Parent=gene107970;locus=PA2593;name=quorum threshold expression element, QteE;|ID=gene107970;Alias=PA2593;name=qteE;Dbxref=GeneID:882299
phosphoenolpyruvate-protein phosphotransferase PtsP	65	-10.4	-6.58	-7.579076923076923	2.8623553846153857	7.265200170411153	13.806875401645538	8.976099846272454	8.394112524531614	0.01100000000000001	0.14300000000000002	0.1084769230769231	0.003417784615384613	ID=CDS103412;Parent=gene103411;locus=PA0337;name=phosphoenolpyruvate-protein phosphotransferase PtsP;|ID=gene103411;Alias=PA0337;name=ptsP;Dbxref=GeneID:882232
class III (anaerobic) ribonucleoside-triphosphate reductase activating protein, 'activase', NrdG	53	-10.4	-6.72	-6.789433962264151	0.2555169811320756	7.482804102050026	13.806875401645538	7.6021262020423945	0.7546014679692014	0.01100000000000001	0.04400000000000004	0.04337735849056608	2.054716981132079e-5	ID=CDS106619;Parent=gene106618;locus=PA1919;name=class III (anaerobic) ribonucleoside-triphosphate reductase activating protein, 'activase', NrdG;|ID=gene106618;Alias=PA1919;name=nrdG;Dbxref=GeneID:880910
hypothetical protein	53	-10.5	-5.46	-9.051320754716981	2.1550770682148044	7.325138859262188	20.42596873227228	12.083819938720017	5.479905505232965	0.01100000000000001	0.132	0.025528301886792466	8.459462989840347e-4	ID=CDS250308;Parent=gene250307;locus=PALES_31051;name=hypothetical protein;|ID=gene250307;Alias=PALES_31051;name=PALES_31051;Dbxref=GeneID:7177460
