gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
htpG_2	117	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04916;Name=htpG_2;db_xref=COG:COG0326;gene=htpG_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A6Z3;locus_tag=MJLLFBCC_04916;product=Chaperone protein HtpG
acoB	100	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02263;eC_number=1.1.1.-;Name=acoB;db_xref=COG:COG0022;gene=acoB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27746;locus_tag=MJLLFBCC_02263;product=Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit beta
pcaK_2	100	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02292;Name=pcaK_2;db_xref=COG:COG0477;gene=pcaK_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q51955;locus_tag=MJLLFBCC_02292;product=4-hydroxybenzoate transporter PcaK
rpmF	100	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_06055;Name=rpmF;db_xref=COG:COG0333;gene=rpmF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HZN4;locus_tag=MJLLFBCC_06055;product=50S ribosomal protein L32
rpoC	100	-0.347	-0.26	-0.29567	0.0018494354545454531	7.507239610973162	8.67778070526608	8.197858856605984	0.3347911768528736	0.01100000000000001	0.02200000000000002	0.017490000000000016	2.9565555555555656e-5	ID=MJLLFBCC_02769;eC_number=2.7.7.6;Name=rpoC;gene=rpoC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A7ZUK2;locus_tag=MJLLFBCC_02769;product=DNA-directed RNA polymerase subunit beta'
yscD	100	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04793;Name=yscD;gene=yscD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q01245;locus_tag=MJLLFBCC_04793;product=Yop proteins translocation protein D
iutA_1	81	-0.319	-0.319	-0.319	0	13.782516055786093	13.782516055786093	13.782516055786093	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_01835;Name=iutA_1;gene=iutA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q6U607;locus_tag=MJLLFBCC_01835;product=Ferric aerobactin receptor
psd	79	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05320;eC_number=4.1.1.65;Name=psd;db_xref=COG:COG0688;gene=psd;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A8K1;locus_tag=MJLLFBCC_05320;product=Phosphatidylserine decarboxylase proenzyme
proS	76	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_00722;eC_number=6.1.1.15;Name=proS;db_xref=COG:COG0442;gene=proS;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9I502;locus_tag=MJLLFBCC_00722;product=Proline--tRNA ligase
rhdA	76	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05319;eC_number=2.8.1.1;Name=rhdA;db_xref=COG:COG2897;gene=rhdA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HUK9;locus_tag=MJLLFBCC_05319;product=Thiosulfate sulfurtransferase
etfB	67	-0.347	-0.187	-0.22656716417910447	7.989461781999084e-4	7.507239610973162	11.416801226031378	10.455536354908753	2.211950368658735	0.01100000000000001	0.05500000000000005	0.046626865671641836	4.4328358208955234e-5	ID=MJLLFBCC_06073;Name=etfB;gene=etfB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P38975;locus_tag=MJLLFBCC_06073;product=Electron transfer flavoprotein subunit beta
icd_2	64	-0.347	-0.347	-0.347	0	7.507239610973162	7.507239610973162	7.507239610973162	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_03889;eC_number=1.1.1.42;Name=icd_2;db_xref=COG:COG2838;gene=icd_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16100;locus_tag=MJLLFBCC_03889;product=Isocitrate dehydrogenase [NADP]
mntH_2	62	-0.347	-0.25	-0.3344838709677419	0.0010747456372289781	7.272458742971444	7.507239610973162	7.476945305424553	0.006296332147859487	0.01100000000000001	0.02200000000000002	0.012419354838709689	1.3821258593336872e-5	ID=MJLLFBCC_04408;Name=mntH_2;gene=mntH_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99UZ7;locus_tag=MJLLFBCC_04408;product=Divalent metal cation transporter MntH
