gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
pntA	166	-1.86	1.86	0.24650602409638556	3.419433778751374	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.0879433734939759	2.470974808322285e-9	ID=MJLLFBCC_02002;eC_number=1.6.1.2;Name=pntA;db_xref=COG:COG3288;gene=pntA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07001;locus_tag=MJLLFBCC_02002;product=NAD(P) transhydrogenase subunit alpha
pntAA	166	-1.86	1.86	0.24650602409638556	3.419433778751374	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.0879433734939759	2.470974808322285e-9	ID=MJLLFBCC_02001;eC_number=1.6.1.2;Name=pntAA;db_xref=COG:COG3288;gene=pntAA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2RSB2;locus_tag=MJLLFBCC_02001;product=NAD(P) transhydrogenase subunit alpha part 1
pntB	166	-1.86	1.86	0.24650602409638556	3.419433778751375	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.0879433734939759	2.4709748083222845e-9	ID=MJLLFBCC_02003;eC_number=1.6.1.2;Name=pntB;db_xref=COG:COG1282;gene=pntB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2RSB4;locus_tag=MJLLFBCC_02003;product=NAD(P) transhydrogenase subunit beta
tolQ_2	159	-1.86	1.86	0.17547169811320756	3.4505110102698833	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.0879452830188679	2.4934320515863082e-9	ID=MJLLFBCC_02005;Name=tolQ_2;db_xref=COG:COG0811;gene=tolQ_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ABU9;locus_tag=MJLLFBCC_02005;product=Protein TolQ
fusA_1	132	-1.86	1.86	0.9581818181818182	2.5608882720333086	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.08792424242424242	1.8505667360614836e-9	ID=MJLLFBCC_02772;Name=fusA_1;db_xref=COG:COG0480;gene=fusA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HWD2;locus_tag=MJLLFBCC_02772;product=Elongation factor G 1
rpsG	132	-1.86	1.86	0.9581818181818182	2.5608882720333086	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.08792424242424242	1.8505667360614836e-9	ID=MJLLFBCC_02771;Name=rpsG;db_xref=COG:COG0049;gene=rpsG;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P02359;locus_tag=MJLLFBCC_02771;product=30S ribosomal protein S7
tuf1_2	132	-1.86	1.86	0.9581818181818182	2.5608882720333086	8.160521952625801	8.160521952625801	8.160521952625801	0	0.0879	0.08799999999999997	0.08792424242424242	1.8505667360614836e-9	ID=MJLLFBCC_02773;Name=tuf1_2;gene=tuf1_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02T82;locus_tag=MJLLFBCC_02773;product=Elongation factor Tu
nanT	83	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_00483;Name=nanT;gene=nanT;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01238;locus_tag=MJLLFBCC_00483;product=Putative sialic acid transporter
rcsC_2	83	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_00478;eC_number=2.7.13.3;Name=rcsC_2;gene=rcsC_2;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00979;locus_tag=MJLLFBCC_00478;product=Sensor histidine kinase RcsC
wspC	83	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_00480;eC_number=2.1.1.-;Name=wspC;db_xref=COG:COG0457;gene=wspC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q88MS8;locus_tag=MJLLFBCC_00480;product=putative biofilm formation methyltransferase WspC
crt_4	81	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=MJLLFBCC_03009;eC_number=4.2.1.150;Name=crt_4;db_xref=COG:COG1024;gene=crt_4;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52046;locus_tag=MJLLFBCC_03009;product=Short-chain-enoyl-CoA hydratase
oprD_7	81	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=MJLLFBCC_03019;eC_number=3.4.21.-;Name=oprD_7;gene=oprD_7;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P32722;locus_tag=MJLLFBCC_03019;product=Porin D
yhaJ_2	81	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=MJLLFBCC_03021;Name=yhaJ_2;gene=yhaJ_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P67661;locus_tag=MJLLFBCC_03021;product=HTH-type transcriptional regulator YhaJ
hcnB_2	58	-1.76	-1.58	-1.6094827586206897	0.004247096188747731	7.498940737782249	8.314258261397736	7.657856021063125	0.08614626369054508	0.09899999999999998	0.23099999999999998	0.19686206896551722	0.0027880508166969143	ID=MJLLFBCC_03986;eC_number=1.4.99.5;Name=hcnB_2;gene=hcnB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9I1S2;locus_tag=MJLLFBCC_03986;product=Hydrogen cyanide synthase subunit HcnB
hcnC_2	58	-1.76	-1.58	-1.6094827586206897	0.004247096188747731	7.498940737782249	8.314258261397736	7.657856021063125	0.08614626369054508	0.09899999999999998	0.23099999999999998	0.19686206896551722	0.0027880508166969143	ID=MJLLFBCC_03985;eC_number=1.4.99.5;Name=hcnC_2;db_xref=COG:COG0665;gene=hcnC_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:G3XD12;locus_tag=MJLLFBCC_03985;product=Hydrogen cyanide synthase subunit HcnC
nemR	58	-1.76	-1.58	-1.6094827586206897	0.004247096188747731	7.498940737782249	8.314258261397736	7.657856021063125	0.08614626369054508	0.09899999999999998	0.23099999999999998	0.19686206896551722	0.0027880508166969143	ID=MJLLFBCC_03984;Name=nemR;gene=nemR;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P67430;locus_tag=MJLLFBCC_03984;product=HTH-type transcriptional repressor NemR
acrA	55	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_00373;Name=acrA;gene=acrA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AE06;locus_tag=MJLLFBCC_00373;product=Multidrug efflux pump subunit AcrA
glyA	55	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_00370;eC_number=2.1.2.1;Name=glyA;db_xref=COG:COG0112;gene=glyA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A1SUU0;locus_tag=MJLLFBCC_00370;product=Serine hydroxymethyltransferase
pka	53	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=MJLLFBCC_03249;eC_number=2.3.1.-;Name=pka;db_xref=COG:COG0454;gene=pka;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76594;locus_tag=MJLLFBCC_03249;product=Protein lysine acetyltransferase Pka
rtcB_2	53	-1.86	-1.86	-1.86	0	8.160521952625801	8.160521952625801	8.160521952625801	0	0.08799999999999997	0.08799999999999997	0.08799999999999997	0	ID=MJLLFBCC_03253;eC_number=6.5.1.-;Name=rtcB_2;db_xref=COG:COG1690;gene=rtcB_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P46850;locus_tag=MJLLFBCC_03253;product=RNA-splicing ligase RtcB
ftsW	52	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_04489;eC_number=2.4.1.129;Name=ftsW;db_xref=COG:COG0772;gene=ftsW;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ABG4;locus_tag=MJLLFBCC_04489;product=putative peptidoglycan glycosyltransferase FtsW
murD	52	-1.9	-1.9	-1.9	0	7.735182176990463	7.735182176990463	7.735182176990463	0	0.04400000000000004	0.04400000000000004	0.04400000000000004	0	ID=MJLLFBCC_04490;eC_number=6.3.2.9;Name=murD;db_xref=COG:COG0771;gene=murD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HVZ9;locus_tag=MJLLFBCC_04490;product=UDP-N-acetylmuramoylalanine--D-glutamate ligase
