gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
hypothetical protein	1437	-1.43	-0.885	-1.3381934585942936	0.041070487617347017	7.3487219860018564	10.119186407719209	9.66229416134271	1.0285151120465006	0.01100000000000001	0.02200000000000002	0.01287543493389006	1.7124444883820207e-5	ID=CDS113937;Parent=gene113936;locus=PA5526;name=hypothetical protein;|ID=gene113936;Alias=PA5526;name=PA5526;Dbxref=GeneID:878185
conserved hypothetical protein	584	-1.43	-0.887	-1.4076849315068491	0.01163904978970384	7.3535962737769305	10.119186407719209	10.005532018653088	0.3019211251545143	0.01100000000000001	0.02200000000000002	0.011452054794520558	4.776428017575627e-6	ID=CDS113455;Parent=gene113454;locus=PA5290;name=conserved hypothetical protein;|ID=gene113454;Alias=PA5290;name=PA5290;Dbxref=GeneID:878344
probable transcriptional regulator	428	-1.43	-0.887	-1.3430046728971963	0.037609016371555275	7.3535962737769305	10.119186407719209	9.73524043920825	0.7658215617399383	0.01100000000000001	0.02200000000000002	0.012850467289719638	1.6970561842018847e-5	ID=CDS113461;Parent=gene113460;locus=PA5293;name=probable transcriptional regulator;|ID=gene113460;Alias=PA5293;name=PA5293;Dbxref=GeneID:880555
NAD-dependent glutamate dehydrogenase	133	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108935;Parent=gene108934;locus=PA3068;name=NAD-dependent glutamate dehydrogenase;|ID=gene108934;Alias=PA3068;name=gdhB;Dbxref=GeneID:878664
quinoprotein ethanol dehydrogenase	117	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS106745;Parent=gene106744;locus=PA1982;name=quinoprotein ethanol dehydrogenase;|ID=gene106744;Alias=PA1982;name=exaA;Dbxref=GeneID:880475
probable outer membrane protein precursor	110	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS104863;Parent=gene104862;locus=PA1048;name=probable outer membrane protein precursor;|ID=gene104862;Alias=PA1048;name=PA1048;Dbxref=GeneID:881433
probable ATP-dependent RNA helicase	104	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS103594;Parent=gene103593;locus=PA0428;name=probable ATP-dependent RNA helicase;|ID=gene103593;Alias=PA0428;name=PA0428;Dbxref=GeneID:877822
30S ribosomal protein S14	100	-1.43	-1.43	-1.43	0	10.119186407719209	10.119186407719209	10.119186407719209	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS111321;Parent=gene111320;locus=PA4250;name=30S ribosomal protein S14;|ID=gene111320;Alias=PA4250;name=rpsN;Dbxref=GeneID:881778
aminopeptidase P	100	-1.43	-0.887	-1.22366	0.07016810545454535	7.3535962737769305	10.119186407719209	9.068262156821143	1.820185816847183	0.01100000000000001	0.02200000000000002	0.015180000000000013	2.8795555555555564e-5	ID=CDS113323;Parent=gene113322;locus=PA5224;name=aminopeptidase P;|ID=gene113322;Alias=PA5224;name=pepP;Dbxref=GeneID:882288
cytosine permease	100	-1.43	-0.887	-0.9413	0.026804454545454593	7.3535962737769305	10.119186407719209	7.630155287171158	0.6953171626326264	0.01100000000000001	0.02200000000000002	0.02090000000000002	1.1e-5	ID=CDS103612;Parent=gene103611;locus=PA0437;name=cytosine deaminase;|ID=gene103611;Alias=PA0437;name=codA;Dbxref=GeneID:877586|ID=CDS103614;Parent=gene103613;locus=PA0438;name=cytosine permease;|ID=gene103613;Alias=PA0438;name=codB;Dbxref=GeneID:877581
