gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
ethA	100	-10.4	-6.72	-7.483	1.1784191919191915	7.482804102050026	13.806875401645538	8.766153011603617	3.4181829040733107	0.01100000000000001	0.07699999999999996	0.05225000000000001	3.822499999999992e-4	ID=MJLLFBCC_03526;eC_number=1.14.13.-;Name=ethA;gene=ethA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7TVI2;locus_tag=MJLLFBCC_03526;product=FAD-containing monooxygenase EthA
fadD_1	100	-10.4	-7.6	-10.148	0.6485818181818193	8.847711655616944	13.806875401645538	13.360550664502965	2.0345370549573825	0.01100000000000001	0.09899999999999998	0.018920000000000006	6.406399999999994e-4	ID=MJLLFBCC_04312;eC_number=6.2.1.3;Name=fadD_1;db_xref=COG:COG0318;gene=fadD_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P69451;locus_tag=MJLLFBCC_04312;product=Long-chain-fatty-acid--CoA ligase
xanP_1	100	-10.4	-6.7	-7.9038	2.963078343434343	7.8696662315049934	13.806875401645538	9.775581903456018	7.724958397961875	0.01100000000000001	0.10999999999999999	0.03784000000000001	0.001506559999999999	ID=MJLLFBCC_01159;Name=xanP_1;db_xref=COG:COG2233;gene=xanP_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AGM9;locus_tag=MJLLFBCC_01159;product=Xanthine permease XanP
yhjE_2	97	-10.4	-7.55	-9.48917525773196	1.7846472293814442	9.423658649794207	13.806875401645538	12.406053553115731	4.221322732574191	0.01100000000000001	0.04400000000000004	0.02154639175257734	2.3927126288659855e-4	ID=MJLLFBCC_00524;Name=yhjE_2;gene=yhjE_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37643;locus_tag=MJLLFBCC_00524;product=Inner membrane metabolite transport protein YhjE
ydaP	91	-5.68	-4.3	-4.984395604395604	0.4596915750915757	7.543633966870957	12.11690664142431	9.918954173739623	4.726585287294954	0.04400000000000004	0.15400000000000003	0.06273626373626377	0.0013054407814407799	ID=MJLLFBCC_04074;Name=ydaP;db_xref=COG:COG0028;gene=ydaP;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P96591;locus_tag=MJLLFBCC_04074;product=Putative thiamine pyrophosphate-containing protein YdaP
wecC	84	5.35	5.35	5.35	0	7.22767829327708	7.22767829327708	7.22767829327708	0	0.0879	0.0879	0.0879	0	ID=HHAIMIIE_03448;eC_number=1.1.1.336;Name=wecC;db_xref=COG:COG0677;gene=wecC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27829;locus_tag=HHAIMIIE_03448;product=UDP-N-acetyl-D-mannosamine dehydrogenase
ptsP	65	-10.4	-6.58	-7.579076923076923	2.8623553846153857	7.265200170411153	13.806875401645538	8.976099846272454	8.394112524531614	0.01100000000000001	0.14300000000000002	0.1084769230769231	0.003417784615384613	ID=MJLLFBCC_01144;eC_number=2.7.3.9;Name=ptsP;db_xref=COG:COG3605;gene=ptsP;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37177;locus_tag=MJLLFBCC_01144;product=Phosphoenolpyruvate-dependent phosphotransferase system
nuoN	50	-10.4	-6.3	-6.4639999999999995	0.658677551020409	7.410050398674293	13.806875401645538	7.665923398793143	1.6033712373017344	0.01100000000000001	0.19799999999999995	0.19051999999999997	0.0013702138775510215	ID=MJLLFBCC_03914;eC_number=1.6.5.11;Name=nuoN;db_xref=COG:COG1007;gene=nuoN;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFF0;locus_tag=MJLLFBCC_03914;product=NADH-quinone oxidoreductase subunit N
nemA_2	47	-10.4	-7.6	-9.029787234042553	2.0017021276595757	8.847711655616944	13.806875401645538	11.380050589759206	6.279141717427497	0.01100000000000001	0.09899999999999998	0.054063829787234036	0.0019771914893617014	ID=MJLLFBCC_04430;eC_number=1.-.-.-;Name=nemA_2;db_xref=COG:COG1902;gene=nemA_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P77258;locus_tag=MJLLFBCC_04430;product=N-ethylmaleimide reductase
ydhP_2	47	-10.4	-7.6	-9.029787234042553	2.0017021276595757	8.847711655616944	13.806875401645538	11.380050589759206	6.279141717427497	0.01100000000000001	0.09899999999999998	0.054063829787234036	0.0019771914893617014	ID=MJLLFBCC_04429;Name=ydhP_2;db_xref=COG:COG2814;gene=ydhP_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P77389;locus_tag=MJLLFBCC_04429;product=Inner membrane transport protein YdhP
nuoL	43	-6.72	-6.58	-6.583255813953488	4.5581395348836856e-4	7.265200170411153	7.482804102050026	7.270260726960894	0.0011011970015045408	0.04400000000000004	0.14300000000000002	0.14069767441860467	2.2793023255813998e-4	ID=MJLLFBCC_03912;eC_number=1.6.5.11;Name=nuoL;db_xref=COG:COG1009;gene=nuoL;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P33607;locus_tag=MJLLFBCC_03912;product=NADH-quinone oxidoreductase subunit L
