gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
conserved hypothetical protein	1502	-1.12	-0.461	-1.0328209054593875	0.0015164002821909366	8.162411561764488	10.623423042943488	8.696400589890885	0.5840484900282268	0.01100000000000001	0.07699999999999996	0.011058588548601873	3.0598562343258358e-6	ID=CDS133893;Parent=gene133892;locus=PA5568;name=conserved hypothetical protein;|ID=gene133892;Alias=PA5568;name=PA5568;Dbxref=GeneID:878127
hypothetical protein	1243	-1.12	-1.02	-1.040353982300885	0.0016224188790560094	8.393618634889394	10.623423042943488	8.847472629449078	0.806671160471266	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS113829;Parent=gene113828;locus=PA5472;name=hypothetical protein;|ID=gene113828;Alias=PA5472;name=PA5472;Dbxref=GeneID:877633
probable siderophore receptor	300	-1.07	-1.02	-1.0335	4.943979933110347e-4	8.393618634889394	25.619788758288394	13.044684568207124	58.683249538202226	0.01100000000000001	0.02200000000000002	0.013970000000000012	2.392886287625436e-5	ID=CDS105499;Parent=gene105498;locus=PA1365;name=probable siderophore receptor;|ID=gene105498;Alias=PA1365;name=PA1365;Dbxref=GeneID:878106
chemotactic transducer PctB	266	-1.12	-0.436	-1.096857142857143	0.015351836118598423	7.09312646527793	10.623423042943488	10.503976918135255	0.4089502759466476	0.01100000000000001	0.06599999999999995	0.012860902255639106	9.925982408852323e-5	ID=CDS111459;Parent=gene111458;locus=PA4310;name=chemotactic transducer PctB;|ID=gene111458;Alias=PA4310;name=pctB;Dbxref=GeneID:881566
probable transcriptional regulator	255	-1.12	-1.02	-1.05921568627451	0.002393083217538988	8.393618634889394	10.623423042943488	9.268051736087077	1.1898476041647497	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS113649;Parent=gene113648;locus=PA5382;name=probable transcriptional regulator;|ID=gene113648;Alias=PA5382;name=PA5382;Dbxref=GeneID:881409
chromosome partitioning protein Soj	135	-1.02	-1.02	-1.02	0	8.393618634889394	8.393618634889394	8.393618634889394	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS133903;Parent=gene133902;locus=PA5563;name=chromosome partitioning protein Soj;|ID=gene133902;Alias=PA5563;name=soj;Dbxref=GeneID:877777
probable major facilitator superfamily (MFS) transporter	130	-1.12	-1.02	-1.1042307692307693	0.0013191711389385827	8.393618634889394	25.619788758288394	10.395732870283972	2.461953276880447	0.01100000000000001	0.02200000000000002	0.011084615384615394	9.307692307692329e-7	ID=CDS112931;Parent=gene112930;locus=PA5030;name=probable major facilitator superfamily (MFS) transporter;|ID=gene112930;Alias=PA5030;name=PA5030;Dbxref=GeneID:881212
heat shock protein HtpG	117	-1.12	-1.12	-1.12	0	10.623423042943488	10.623423042943488	10.623423042943488	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS105963;Parent=gene105962;locus=PA1596;name=heat shock protein HtpG;|ID=gene105962;Alias=PA1596;name=htpG;Dbxref=GeneID:881933
probable hydrolase	104	-1.12	-1.02	-1.1161538461538463	3.734129947722185e-4	8.393618634889394	10.623423042943488	10.537661334941408	0.1856619752866867	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS105173;Parent=gene105172;locus=PA1202;name=probable hydrolase;|ID=gene105172;Alias=PA1202;name=PA1202;Dbxref=GeneID:882011
thymidylate kinase	104	-1.02	-1.02	-1.02	0	8.393618634889394	8.393618634889394	8.393618634889394	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108719;Parent=gene108718;locus=PA2961;name=DNA polymerase III, delta prime subunit;|ID=gene108718;Alias=PA2961;name=holB;Dbxref=GeneID:880379|ID=CDS108721;Parent=gene108720;locus=PA2962;name=thymidylate kinase;|ID=gene108720;Alias=PA2962;name=tmk;Dbxref=GeneID:878730
DNA-directed RNA polymerase beta* chain	101	-1.12	-0.7	-0.8736633663366337	0.04288744554455452	8.073657553374344	10.623423042943488	9.111878802422364	1.5778760165793522	0.01100000000000001	0.02200000000000002	0.01742574257425744	2.9686930693069372e-5	ID=CDS111359;Parent=gene111358;locus=PA4269;name=DNA-directed RNA polymerase beta* chain;|ID=gene111358;Alias=PA4269;name=rpoC;Dbxref=GeneID:881710
type 4 fimbrial biogenesis protein PilM	101	-1.02	-1.02	-1.02	0	8.393618634889394	8.393618634889394	8.393618634889394	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS112953;Parent=gene112952;locus=PA5041;name=type 4 fimbrial biogenesis protein PilP;|ID=gene112952;Alias=PA5041;name=pilP;Dbxref=GeneID:880984|ID=CDS112955;Parent=gene112954;locus=PA5042;name=type 4 fimbrial biogenesis protein PilO;|ID=gene112954;Alias=PA5042;name=pilO;Dbxref=GeneID:880985|ID=CDS112957;Parent=gene112956;locus=PA5043;name=type 4 fimbrial biogenesis protein PilN;|ID=gene112956;Alias=PA5043;name=pilN;Dbxref=GeneID:881025|ID=CDS112959;Parent=gene112958;locus=PA5044;name=type 4 fimbrial biogenesis protein PilM;|ID=gene112958;Alias=PA5044;name=pilM;Dbxref=GeneID:881162
50S ribosomal protein L32	100	-1.12	-1.12	-1.12	0	10.623423042943488	10.623423042943488	10.623423042943488	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108737;Parent=gene108736;locus=PA2970;name=50S ribosomal protein L32;|ID=gene108736;Alias=PA2970;name=rpmF;Dbxref=GeneID:880144
gene102891	100	-1.12	-1.12	-1.12	0	10.623423042943488	10.623423042943488	10.623423042943488	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS102892;Parent=gene102891;locus=PA0079;name=TssK1;|ID=gene102891;Alias=PA0079;name=tssK1;Dbxref=GeneID:879382
probable glyceraldehyde-3-phosphate dehydrogenase	100	-1.02	-1.02	-1.02	0	8.393618634889394	8.393618634889394	8.393618634889394	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS108799;Parent=gene108798;locus=PA3001;name=probable glyceraldehyde-3-phosphate dehydrogenase;|ID=gene108798;Alias=PA3001;name=PA3001;Dbxref=GeneID:880414
pyridine nucleotide transhydrogenase, beta subunit	100	-1.02	-1.02	-1.02	0	8.393618634889394	8.393618634889394	8.393618634889394	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS103126;Parent=gene103125;locus=PA0195.1;name=putative NAD(P) transhydrogenase, subunit alpha part 2;|ID=gene103125;Alias=PA0195.1;name=pntAB;Dbxref=GeneID:878346|ID=CDS103128;Parent=gene103127;locus=PA0196;name=pyridine nucleotide transhydrogenase, beta subunit;|ID=gene103127;Alias=PA0196;name=pntB;Dbxref=GeneID:878146
translation initiation factor IF-2	100	-1.02	-1.02	-1.02	0	8.393618634889394	8.393618634889394	8.393618634889394	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS112349;Parent=gene112348;locus=PA4744;name=translation initiation factor IF-2;|ID=gene112348;Alias=PA4744;name=infB;Dbxref=GeneID:881695
type III export protein PscE	100	-1.12	-1.12	-1.12	0	10.623423042943488	10.623423042943488	10.623423042943488	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=CDS106205;Parent=gene106204;locus=PA1717;name=type III export protein PscD;|ID=gene106204;Alias=PA1717;name=pscD;Dbxref=GeneID:877924|ID=CDS106207;Parent=gene106206;locus=PA1718;name=type III export protein PscE;|ID=gene106206;Alias=PA1718;name=pscE;Dbxref=GeneID:881908
