gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
minD	100	-14.6	-14.6	-14.6	0	10.224753740259764	10.224753740259764	10.224753740259764	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_04196;Name=minD;db_xref=COG:COG2894;gene=minD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEZ3;locus_tag=MJLLFBCC_04196;product=Septum site-determining protein MinD
minE	100	-14.6	-14.6	-14.6	0	10.224753740259764	10.224753740259764	10.224753740259764	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_04197;Name=minE;db_xref=COG:COG0851;gene=minE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A734;locus_tag=MJLLFBCC_04197;product=Cell division topological specificity factor
rluA	100	-14.6	-14.6	-14.6	0	10.224753740259764	10.224753740259764	10.224753740259764	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_04198;eC_number=5.4.99.28;Name=rluA;db_xref=COG:COG0564;gene=rluA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AA37;locus_tag=MJLLFBCC_04198;product=Ribosomal large subunit pseudouridine synthase A
mucA	79	-14.6	-9.99	-13.117215189873418	4.420602401817592	7.124360062995832	14.028724151261894	9.5236196111544	3.3873589877259493	0.02200000000000002	0.03300000000000003	0.026037974683544327	2.8472898409607343e-5	ID=MJLLFBCC_00984;Name=mucA;db_xref=COG:COG3073;gene=mucA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P38107;locus_tag=MJLLFBCC_00984;product=Sigma factor AlgU negative regulatory protein
rpoE_1	79	-14.6	-9.99	-13.117215189873418	4.420602401817592	7.124360062995832	14.028724151261894	9.5236196111544	3.3873589877259493	0.02200000000000002	0.03300000000000003	0.026037974683544327	2.8472898409607343e-5	ID=MJLLFBCC_00985;Name=rpoE_1;db_xref=COG:COG1595;gene=rpoE_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AGB6;locus_tag=MJLLFBCC_00985;product=ECF RNA polymerase sigma-E factor
minC	53	-14.6	-14.6	-14.6	0	10.224753740259764	10.224753740259764	10.224753740259764	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_04195;Name=minC;db_xref=COG:COG0850;gene=minC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P18196;locus_tag=MJLLFBCC_04195;product=Septum site-determining protein MinC
mucB	10	-9.99	-9.99	-9.99	0	7.124360062995832	7.124360062995832	7.124360062995832	0	0.03300000000000003	0.03300000000000003	0.03300000000000003	0	ID=MJLLFBCC_00983;Name=mucB;db_xref=COG:COG3026;gene=mucB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P38108;locus_tag=MJLLFBCC_00983;product=Sigma factor AlgU regulatory protein MucB
nlhH_1	5	6.79	6.79	6.79	0	7.605548319173784	7.605548319173784	7.605548319173784	0	0.11	0.11	0.11	0	ID=HHAIMIIE_01136;eC_number=3.1.1.1;Name=nlhH_1;db_xref=COG:COG0657;gene=nlhH_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WK87;locus_tag=HHAIMIIE_01136;product=Carboxylesterase NlhH
psaA	5	6.79	6.79	6.79	0	7.605548319173784	7.605548319173784	7.605548319173784	0	0.11	0.11	0.11	0	ID=HHAIMIIE_01130;Name=psaA;db_xref=COG:COG0803;gene=psaA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A4G2;locus_tag=HHAIMIIE_01130;product=Manganese ABC transporter substrate-binding lipoprotein
tycC	5	6.79	6.79	6.79	0	7.605548319173784	7.605548319173784	7.605548319173784	0	0.11	0.11	0.11	0	ID=HHAIMIIE_01135;Name=tycC;gene=tycC;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O30409;locus_tag=HHAIMIIE_01135;product=Tyrocidine synthase 3
dapH_2	4	-14.6	-14.6	-14.6	0	10.224753740259764	10.224753740259764	10.224753740259764	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_02583;eC_number=2.3.1.89;Name=dapH_2;gene=dapH_2;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01691;locus_tag=MJLLFBCC_02583;product=2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-acetyltransferase
pcs	4	-14.6	-14.6	-14.6	0	10.224753740259764	10.224753740259764	10.224753740259764	0	0.02200000000000002	0.02200000000000002	0.02200000000000002	0	ID=MJLLFBCC_02587;eC_number=2.7.8.24;Name=pcs;db_xref=COG:COG1183;gene=pcs;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HXE9;locus_tag=MJLLFBCC_02587;product=Phosphatidylcholine synthase
uraA	1	-14.6	-14.6	-14.6	NA	10.224753740259764	10.224753740259764	10.224753740259764	NA	0.02200000000000002	0.02200000000000002	0.02200000000000002	NA	ID=MJLLFBCC_06383;Name=uraA;db_xref=COG:COG2233;gene=uraA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AGM7;locus_tag=MJLLFBCC_06383;product=Uracil permease
