gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
puuC_3	209	-0.0765	0.0765	0.025988038277511963	0.005201760673536985	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.06593301435406697	2.222119985275532e-9	ID=MJLLFBCC_02225;eC_number=1.2.1.5;Name=puuC_3;db_xref=COG:COG1012;gene=puuC_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23883;locus_tag=MJLLFBCC_02225;product=NADP/NAD-dependent aldehyde dehydrogenase PuuC
ppiD	163	-0.0765	0.0765	0.017365030674846627	0.005584969325153368	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.06593865030674845	2.3858214042237976e-9	ID=MJLLFBCC_02922;eC_number=5.2.1.8;Name=ppiD;db_xref=COG:COG0760;gene=ppiD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ADY1;locus_tag=MJLLFBCC_02922;product=Peptidyl-prolyl cis-trans isomerase D
puuB_12	119	-0.0765	0.0765	0.05207142857142857	0.003167433414043588	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.06591596638655461	1.353083606322462e-9	ID=MJLLFBCC_04974;eC_number=1.4.3.-;Name=puuB_12;gene=puuB_12;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37906;locus_tag=MJLLFBCC_04974;product=Gamma-glutamylputrescine oxidoreductase
gltB	117	-0.0765	0.0765	0.05426923076923077	0.0029321618037135336	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.06591452991452991	1.2525788387844176e-9	ID=MJLLFBCC_05401;eC_number=1.4.1.13;Name=gltB;db_xref=COG:COG0067;gene=gltB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E1V8I1;locus_tag=MJLLFBCC_05401;product=Glutamate synthase [NADPH] large chain
mexA	102	-0.0765	0.0765	0.0705	8.907326732673257e-4	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.06590392156862745	3.8050863909880353e-10	ID=MJLLFBCC_01235;Name=mexA;gene=mexA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52477;locus_tag=MJLLFBCC_01235;product=Multidrug resistance protein MexA
bioF	101	-0.0765	0.0765	0.07498514851485148	2.317722772277229e-4	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999425e-11	ID=MJLLFBCC_01309;eC_number=2.3.1.47;Name=bioF;db_xref=COG:COG0156;gene=bioF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q146K3;locus_tag=MJLLFBCC_01309;product=8-amino-7-oxononanoate synthase
phnN	101	-0.0765	0.0765	0.07498514851485148	2.317722772277229e-4	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.06599999999999995	0.0659009900990099	9.900990098999434e-11	ID=MJLLFBCC_00060;eC_number=2.7.4.23;Name=phnN;db_xref=COG:COG3709;gene=phnN;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16690;locus_tag=MJLLFBCC_00060;product=Ribose 1%2C5-bisphosphate phosphokinase PhnN
dat	100	0.0765	0.0765	0.0765	0	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_02544;eC_number=2.6.1.76;Name=dat;db_xref=COG:COG0160;gene=dat;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P56744;locus_tag=MJLLFBCC_02544;product=Diaminobutyrate--2-oxoglutarate aminotransferase
fliY_1	100	0.0765	0.0765	0.0765	0	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_01119;Name=fliY_1;db_xref=COG:COG0834;gene=fliY_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEM9;locus_tag=MJLLFBCC_01119;product=L-cystine-binding protein FliY
pikAII	100	0.0765	0.0765	0.0765	0	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04208;eC_number=2.3.1.239;Name=pikAII;gene=pikAII;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZGI4;locus_tag=MJLLFBCC_04208;product=Narbonolide/10-deoxymethynolide synthase PikA2%2C modules 3 and 4
catM	29	0.0765	0.0765	0.0765	0	7.08196966321512	7.08196966321512	7.08196966321512	0	0.0659	0.0659	0.0659	0	ID=MJLLFBCC_04099;Name=catM;gene=catM;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07774;locus_tag=MJLLFBCC_04099;product=HTH-type transcriptional regulator CatM
