gene	hits	min_beta	max_beta	mean_beta	var_beta	min_nlog10p	max_nlog10p	mean_nlog10p	var_nlog10p	min_maf	max_maf	mean_maf	var_maf	info
aroA	100	-0.156	-0.0899	-0.099815	5.627012878787873e-4	10.232102383981909	18.010550182333308	11.398869553734619	7.792214034685772	0.01100000000000001	0.02200000000000002	0.020350000000000017	1.558333333333337e-5	ID=MJLLFBCC_05859;eC_number=2.5.1.19;Name=aroA;gene=aroA;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00210;locus_tag=MJLLFBCC_05859;product=3-phosphoshikimate 1-carboxyvinyltransferase
cysM	100	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_00748;eC_number=2.5.1.47;Name=cysM;db_xref=COG:COG0031;gene=cysM;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16703;locus_tag=MJLLFBCC_00748;product=Cysteine synthase B
eco	100	-0.156	-0.0899	-0.154017	1.284282939393942e-4	10.232102383981909	18.010550182333308	17.777196748382767	1.7784582620341636	0.01100000000000001	0.02200000000000002	0.01133000000000001	3.5566666666666736e-6	ID=MJLLFBCC_03024;Name=eco;db_xref=COG:COG4574;gene=eco;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23827;locus_tag=MJLLFBCC_03024;product=Ecotin
mdtK_2	100	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02179;Name=mdtK_2;db_xref=COG:COG0534;gene=mdtK_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37340;locus_tag=MJLLFBCC_02179;product=Multidrug resistance protein MdtK
nuoJ	100	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_03910;eC_number=1.6.5.11;Name=nuoJ;db_xref=COG:COG0839;gene=nuoJ;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFE0;locus_tag=MJLLFBCC_03910;product=NADH-quinone oxidoreductase subunit J
phnR_3	100	-0.156	-0.0859	-0.10272400000000001	9.053691151515151e-4	9.197226274708024	18.010550182333308	11.312424012538091	14.310971032374969	0.01100000000000001	0.02200000000000002	0.019360000000000016	2.229333333333339e-5	ID=MJLLFBCC_04201;Name=phnR_3;db_xref=COG:COG2188;gene=phnR_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7CR30;locus_tag=MJLLFBCC_04201;product=Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
potA_6	100	-0.156	-0.0859	-0.10272400000000001	9.053691151515151e-4	9.197226274708024	18.010550182333308	11.312424012538091	14.310971032374969	0.01100000000000001	0.02200000000000002	0.019360000000000016	2.229333333333339e-5	ID=MJLLFBCC_04206;eC_number=3.6.3.31;Name=potA_6;db_xref=COG:COG3842;gene=potA_6;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P69874;locus_tag=MJLLFBCC_04206;product=Spermidine/putrescine import ATP-binding protein PotA
rcsC_13	100	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05028;eC_number=2.7.13.3;Name=rcsC_13;gene=rcsC_13;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00979;locus_tag=MJLLFBCC_05028;product=Sensor histidine kinase RcsC
psd	82	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_05320;eC_number=4.1.1.65;Name=psd;db_xref=COG:COG0688;gene=psd;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A8K1;locus_tag=MJLLFBCC_05320;product=Phosphatidylserine decarboxylase proenzyme
ccoP1	68	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_04959;Name=ccoP1;gene=ccoP1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:D9IA45;locus_tag=MJLLFBCC_04959;product=Cbb3-type cytochrome c oxidase subunit CcoP1
potA_3	60	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_01105;eC_number=3.6.3.31;Name=potA_3;db_xref=COG:COG3842;gene=potA_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P69874;locus_tag=MJLLFBCC_01105;product=Spermidine/putrescine import ATP-binding protein PotA
prsE_2	59	-0.156	-0.156	-0.156	0	18.010550182333308	18.010550182333308	18.010550182333308	0	0.01100000000000001	0.01100000000000001	0.01100000000000001	0	ID=MJLLFBCC_02846;Name=prsE_2;gene=prsE_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7ANN5;locus_tag=MJLLFBCC_02846;product=Type I secretion system membrane fusion protein PrsE
acrC_1	54	-0.156	-0.0636	-0.06655	1.8037160377358514e-4	7.306273051076353	18.010550182333308	7.609553362227316	2.270599963009831	0.01100000000000001	0.03300000000000003	0.03198148148148151	1.4924178895877041e-5	ID=MJLLFBCC_01002;eC_number=1.3.1.95;Name=acrC_1;gene=acrC_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:G3KIM8;locus_tag=MJLLFBCC_01002;product=Acryloyl-CoA reductase (NADH)
ccoN1_4	54	-0.156	-0.0807	-0.15042222222222223	3.962327044025151e-4	7.982966660701219	18.010550182333308	17.267766217767967	7.0267247577433585	0.01100000000000001	0.02200000000000002	0.011814814814814825	8.455625436757534e-6	ID=MJLLFBCC_04956;eC_number=1.9.3.1;Name=ccoN1_4;db_xref=COG:COG3278;gene=ccoN1_4;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:D9IA43;locus_tag=MJLLFBCC_04956;product=Cbb3-type cytochrome c oxidase subunit CcoN1
